﻿msg_0,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_99,"[color(yellow)][var(msg_var_0)][color(white)]
あっ…
それってなんか、ウソっぽいホ～！
あったまくるんだホ～！！
[wait][clear][end]"
msg_100,"[color(yellow)][var(msg_var_0)][color(white)]
いまごろなにをいってるホ～！
ハッキリいって、もうおそいんだホ～！！
[wait][clear][end]"
msg_101,"[color(yellow)][var(msg_var_0)][color(white)]
そ、それじゃ…
オイラがワルモノみたいだホ～…
オイラ、な、ないちゃうホ～！！
[wait][clear][end]"
msg_102,[end]
msg_103,[end]
msg_104,[end]
msg_105,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
しんだヒトと、おはなししてるホ～！！
にんげんって、おもしろいんだホ～！！
[wait][clear][end]"
msg_106,[end]
msg_107,[end]
msg_108,[end]
msg_109,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
にんげんってザンコクなんだホ～！
ちょっとみなおしちゃったホ～！
[wait][clear][end]"
msg_110,"[color(yellow)][var(msg_var_0)][color(white)]
に、にんげんって
しんだらワルグチいわれるんだホ～…
つ、つめたいんだホ～…
[wait][clear][end]"
msg_111,[end]
msg_112,[end]
msg_113,[end]
msg_114,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
にんげんって「おちょうしもの」だホ～！
オイラもう、だいすきホ～♥
[wait][clear][end]"
msg_115,"[color(yellow)][var(msg_var_0)][color(white)]
なんかブキミだホ～…
ウ、ウラがありそうだホ～…
[wait][clear][end]"
msg_116,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
そのおかおは…「えすて」したんだホ～！
かっわいいホ～！
[wait][clear][end]"
msg_117,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
「えすて」にいったんだホ～！
おかおがとってもキレイだホ～！
[wait][clear][end]"
msg_118,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
すっごい「びじん」だホ～！！
さては「えすて」にいったんだホ～！？
[wait][clear][end]"
msg_119,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
オトコのくせに「えすて」にいったホ～？
きもちわるいホ～、まったくまったく！！
[wait][clear][end]"
msg_120,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
そのおかお、なんなのホ～！！
オトコは「えすて」にいっちゃダメだホ～！！
[wait][clear][end]"
msg_121,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
オトコのくせに「えすて」にいったホ～？
オトコは、かおじゃないんだホ～！！
[wait][clear][end]"
msg_122,"[color(yellow)][var(msg_var_0)][color(white)]
そういうコトなら、オイラにまかせるホ～！
[wait][clear][end]"
msg_123,"[color(yellow)][var(msg_var_0)][color(white)]
う～ん…どうしようかホ～？
てつだいたいけど、きがのらないホ～…
う～ん、こういうときは、こういうときは…
[wait][clear][color(yellow)][var(msg_var_0)][color(white)]
なぞなぞ！！
オイラのなぞなぞに「ぜんもんせいかい」したら
てつだってあげてもいいんだホ～！
[wait][clear][end]"
msg_124,"[color(yellow)][var(msg_var_0)][color(white)]
それじゃあ、いっくホ～～～～～！！
[wait][clear][end]"
msg_125,"[color(yellow)][var(msg_var_0)][color(white)]
め、みみ、はな、くち…
ミツバチをみるのは、どれだとおもうホ～？
[wait][clear][end]"
msg_126,"ミツバチをみるのは、どれだホ～？
[end_choice][clear][end]"
msg_126_Choice1,め
msg_126_Choice2,みみ
msg_126_Choice3,くち
msg_126_Choice4,はな
msg_127,"[color(yellow)][var(msg_var_0)][color(white)]
せいかいだホ～！
ちょっとカンタンすぎたかホ～？
[wait][clear][end]"
msg_128,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
キミはそんなトコロで
ミツバチをみるのかホ～？
[wait][clear][end]"
msg_129,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
ミツバチだから「はな」にしたのかホ～？
でもやっぱり、みるのは「め」だとおもうホ～！
[wait][clear][end]"
msg_130,"[color(yellow)][var(msg_var_0)][color(white)]
くび、てくび、あしくび…
じぶんのてで、にぎれないのは
どれだとおもうホ～？
[wait][clear][end]"
msg_131,"じぶんのてで、にぎれないのは、どれだホ～？
[end_choice][clear][end]"
msg_131_Choice1,首
msg_131_Choice2,手首
msg_131_Choice3,足首
msg_131_Choice4,すべて握れる
msg_132,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
そんなの、ヨユウでにぎれるホ～！
キミっていがいと「ぶきよう」なんだホ～！
[wait][clear][end]"
msg_133,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
はんたいがわの「て」で、にぎれば
かんたんに、にぎれるホ～！
[wait][clear][end]"
msg_134,"[color(yellow)][var(msg_var_0)][color(white)]
フフフ…
つぎは、むずかしいホ～！
[wait][clear][end]"
msg_135,"「せかい」のまんなかにいるムシはナンだホ～！
[end_choice][clear][end]"
msg_135_Choice1,セミ
msg_135_Choice2,蚊
msg_135_Choice3,蝿
msg_135_Choice4,水虫
msg_136,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
ぜんぜんちがうホ～！
[wait][clear][end]"
msg_137,"[color(yellow)][var(msg_var_0)][color(white)]
せいかいだホ～！
「せ・か・い」のまんなかは「か」なんだホ～！
[wait][clear][end]"
msg_138,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
それは、ムシじゃないホ～！
[wait][clear][end]"
msg_139,"[color(yellow)][var(msg_var_0)][color(white)]
おひさま、おつきさま、おほしさま…
いちばんおおきいのは、どれだとおもうホ～？
[wait][clear][end]"
msg_140,"いちばんおおきいのは、どれだホ～？
[end_choice][clear][end]"
msg_140_Choice1,お日さま
msg_140_Choice2,お月さま
msg_140_Choice3,お星さま
msg_141,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
おひさまよりもおおきな「おほしさま」も
あるんだホ～！
[wait][clear][end]"
msg_142,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
テキトーにこたえるのは
よくないホ～！
[wait][clear][end]"
msg_143,"[color(yellow)][var(msg_var_0)][color(white)]
せいかいだホ～！
「ちょうきょせい」っていう、おひさまよりも
おおきな「おほしさま」があるんだホ～！
[wait][clear][end]"
msg_144,"[color(yellow)][var(msg_var_0)][color(white)]
いびき、ねがえり、あくび、わらう…
ふつう、ねてるあいだにしないのは
どれだとおもうホ～？
[wait][clear][end]"
msg_145,"ねてるあいだにしないのは、どれだホ～？
[end_choice][clear][end]"
msg_145_Choice1,いびき
msg_145_Choice2,寝返り
msg_145_Choice3,あくび
msg_145_Choice4,笑う
msg_146,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
それって、ねてるあいだでも
するんだホ～！
[wait][clear][end]"
msg_147,"[color(yellow)][var(msg_var_0)][color(white)]
せいかいだホ～！
「あくび」はふつう
おきてるときに、するものだホ～！
[wait][clear][end]"
msg_148,"[color(yellow)][var(msg_var_0)][color(white)]
ブッブーッだホ～！
ねてるあいだに、いいユメみて
ニヤニヤするヒトもいるんだホ～！
[wait][clear][end]"
msg_149,"[color(yellow)][var(msg_var_0)][color(white)]
キミってなかなかやるんだホ～！
オイラ、すっかりきにいっちゃったホ～！
「ひ」をけすの、てつだってあげるんだホ～！
[wait][clear][end]"
msg_150,"[color(yellow)][var(msg_var_0)][color(white)]
それは、できないホ～！
オトコのヒトがいるから、てつだうのイヤだホ～！
オトコのヒトは、キライだホ～！
[wait][clear][end]"
msg_151,"[color(yellow)][var(msg_var_0)][color(white)]
キミたち、みんなオンナのヒトだホ～！
それじゃあ、てつだわなくちゃいけないホ～！
[wait][clear][end]"
msg_152,"[color(yellow)][var(msg_var_0)][color(white)]
う～ん…
オンナのヒト、もっといるとイイホ～…
もっとつれてくるホ～！
[wait][clear][end]"
msg_153,"[color(yellow)][var(msg_var_0)][color(white)]
え～っ！？
なんでオイラが、そんなめんどくさいコト
しなくちゃならないホ～！？
[wait][clear][end]"
msg_154,"キミたちって、オイラのいったいなんなのホ～！？
[end_choice][clear][end]"
msg_154_Choice1,友達
msg_154_Choice2,兄弟
msg_154_Choice3,ご主人様
msg_154_Choice4,わからない
msg_155,"[color(yellow)][var(msg_var_0)][color(white)]
なにをいってるホ～！
それってすごく「ずうずうしい」んだホ～！
オイラ、すっかりやるきなくしたホ～！
[wait][clear][end]"
msg_156,"[color(yellow)][var(msg_var_0)][color(white)]
わからないのかホ～！？
やるきが、まったくかんじられないホ～！
オイラといっしょだホ～！
[wait][clear][end]"
msg_157,"ところでキミ、「ゆきだるま」ってすきかホ～？
[end_choice][clear][end]"
msg_157_Choice1,好き
msg_157_Choice2,嫌い
msg_157_Choice3,雪合戦の方が好き
msg_158,"[color(yellow)][var(msg_var_0)][color(white)]
あんなめんどくさいのが、すきなのかホ～？
オイラ、しんじられないホ～！
まったくまったく！
[wait][clear][end]"
msg_159,"[color(yellow)][var(msg_var_0)][color(white)]
やっぱりおもったとおりだホ～！
キミもオイラもやるきがないから
「ゆきだるま」なんてキライなんだホ～！
[wait][clear][end]"
msg_160,"…で、キミたちは、オイラになんのようだホ～？
[end_choice][clear][end]"
msg_160_Choice1,火を消して欲しい
msg_160_Choice2,友達になって欲しい
msg_160_Choice3,用件を忘れた
msg_161,"[color(yellow)][var(msg_var_0)][color(white)]
あぁ、もうめんどくさいホ～…
そんなめんどくさいコト、オイラにはムリだホ～…
オイラもう、おうちにかえってねるんだホ～…
[wait][clear][end]"
msg_162,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャヒャッ！
やるきがまったくないんだホ～！
なんだか「しんきんかん」をおぼえるホ～！
[wait][clear][color(yellow)][var(msg_var_0)][color(white)]
「ようけん」はオイラがおぼえてるホ～！
「ひ」をけせばいいんだホ～！
めんどくさいけど、ちょっとやってみるホ～！
[wait][clear][end]"
msg_163,"[color(yellow)][var(msg_var_0)][color(white)]
そうだホ～！
こんどは、オイラがキミに
インタビューするホ～！
[wait][clear][end]"
msg_164,"[var(msg_var_0)]って、しってるホ～？
[end_choice][clear][end]"
msg_164_Choice1,知ってる。あの子、すっごいかわいいよね！
msg_164_Choice2,知らない。たぶんロクでもない悪魔でしょ！
msg_165,"でも…にんげんって、どんなコトでなやむホ～？
[end_choice][clear][end]"
msg_165_Choice1,やっぱ恋愛でしょ！
msg_165_Choice2,お金の事かなぁ…
msg_165_Choice3,勉強とかかなぁ…
msg_165_Choice4,う～ん…色々あるわね
msg_166,"[color(yellow)][var(msg_var_0)][color(white)]
イロイロって、なんなのホ～…
きになるんだホ～…
[wait][clear][end]"
msg_167,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
イロイロってなんなのホ～！
ちゃんとおしえるホ～！！
[wait][clear][end]"
msg_168,"[color(yellow)][var(msg_var_0)][color(white)]
ねぇ、かみのながいキミと
みじかいキミ…
おりょうりがじょうずなのは、どっちだホ～？
[wait][clear][end]"
msg_169,"どっちがおりょうり、じょうずだホ～？
[end_choice][clear][end]"
msg_169_Choice1,意外なことに、短い髪のお姉ちゃん！
msg_169_Choice2,見た目どおり、長い髪のお姉ちゃん！
msg_169_Choice3,キミのママには、かなわないって！
msg_170,"このホワ～ッてするかんじ…なんなのホ～？
[end_choice][clear][end]"
msg_170_Choice1,恋の予感ってやつね、きっと！
msg_170_Choice2,胸焼けね。飲み過ぎは体にドクよ！
msg_170_Choice3,武者震いね。いいわ、受けて立とうじゃない！
msg_171,"[color(yellow)][var(msg_var_0)][color(white)]
そうだホ～！！
いっくホ～、[var(msg_var_0)]の
とつげき、いんたびゅ～～～っ！！
[wait][clear][end]"
msg_172,"こんなところに、なにしにきたホ～？
[end_choice][clear][end]"
msg_172_Choice1,悪魔退治に来たの
msg_172_Choice2,お買い物に来たの
msg_172_Choice3,七色のお花を探しに…
msg_173,"[color(yellow)][var(msg_var_0)][color(white)]
あっ、そうそう！
オイラこのまえ
すっごい、わるいコトしたんだホ～！
[wait][clear][end]"
msg_174,"なにをしたとおもうホ～？
[end_choice][clear][end]"
msg_174_Choice1,赤信号を無視して渡った、とか…？
msg_174_Choice2,人間と間違えて、悪魔を食べた、とか…？
msg_174_Choice3,ご両親の寝室を覗き見…いや、何でもない
msg_175,"[color(yellow)][var(msg_var_0)][color(white)]
ぶっぶ～だホ～！
でも…それってわるいコトなのホ～？
きになるんだホ～…
[wait][clear][end]"
msg_176,"[color(yellow)][var(msg_var_0)][color(white)]
ぴんぽ～ん、だホ～！
ホヒャハハハッ！
ね、オイラってわるいコだホ～！
[wait][clear][end]"
msg_177,"[color(yellow)][var(msg_var_0)][color(white)]
えっ…、なんでのぞいちゃいけないホ～？
ま、まさか…
パパが、ママを、た、たべてるホ～…！？
[wait][clear][end]"
msg_178,"[color(yellow)][var(msg_var_0)][color(white)]
ねぇねぇ、キミたち！
もう「せいぎのみかた」なんかやめて
アクマになったらどうかホ～！？
[wait][clear][end]"
msg_179,"ねぇ、いますぐアクマになるんだホ～！
[end_choice][clear][end]"
msg_179_Choice1,乾坤一擲…腹を決めるか
msg_179_Choice2,君子危うきに近寄らず…俺は結構だ
msg_179_Choice3,…貴様、悪魔だったのか？
msg_180,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
じょうだんだホ～！
ちょっとビックリしたホ～？
[wait][clear][end]"
msg_181,"[color(yellow)][var(msg_var_0)][color(white)]
そっかぁ…
ザンネンだけど
しかたがないホ～…
[wait][clear][end]"
msg_182,"[color(yellow)][var(msg_var_0)][color(white)]
ねぇねぇ…
こんなコト、キミに
きいてもしかたないんだけど…
[wait][clear][end]"
msg_183,"なんでオイラは、アクマにうまれたホ～？
[end_choice][clear][end]"
msg_183_Choice1,神様が君を選んだんだ！
msg_183_Choice2,パパとママが悪魔だったから…
msg_183_Choice3,すまない、自分にはわからんよ…
msg_184,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
なるほど、そうだホ～！
キミ、アタマがいいホ～！
[wait][clear][end]"
msg_185,"[color(yellow)][var(msg_var_0)][color(white)]
ああっ、そんなコトいってたら
おにいちゃんが、ほしくなってきたホ～！
ねぇねぇ、キミキミー！！
[wait][clear][end]"
msg_186,"ママにたのんだら、つくってくれるホ～！？
[end_choice][clear][end]"
msg_186_Choice1,きっと作ってくれるさ！
msg_186_Choice2,お兄ちゃんは無理だが、弟なら…
msg_186_Choice3,僕がお兄ちゃんになってやろう！
