﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_34,"[color(yellow)]横内健太（よこうちけんた）[color(white)]
[color(green)]エルミン学園の卒業生。
噂に詳しい、訪問販売のトップセールスマン。
営業成績は、実はペルソナの賜物らしい。[color(white)]
[wait][clear][end]"
msg_35,"[color(yellow)]噂屋トロ[color(white)]
噂話は、セールスの役に立つからね～
君も、何か面白い噂を聞いたら、ぜひ教えてよ。
かわりに、僕の知ってる噂を提供するからさ。
[wait][clear][end]"
msg_36,"[color(yellow)]噂屋トロ[color(white)]
ムハァ～
やっぱ寿司はエンガワだね、エンガワ最高ー！！
…で？何の用かな？
[wait][clear][end]"
msg_37,"[color(yellow)]噂屋トロ[color(white)]
何の用かな？
[end]"
msg_38,"[color(yellow)]噂屋トロ[color(white)]
他に何かある？
[end]"
msg_39,[end_choice][clear][end]
msg_39_Choice1,噂話を聞く
msg_39_Choice2,話をする
msg_39_Choice3,用はない
msg_40,"[color(yellow)]噂屋トロ[color(white)]
う～ん…
今のところ、他に情報は無いね。
また仕入れておくよ。
[wait][clear][end]"
msg_41,"[color(yellow)]噂屋トロ[color(white)]
噂だね？
丁度良い話があるよ。
じゃあまず、そっちの情報聞かせて。
[wait][clear][end]"
msg_42,"[color(yellow)]噂屋トロ[color(white)]
ムハァ～いいとも～
じゃあ、そっちの情報から教えてくれる？
新鮮なヤツじゃないとダメだよ。
[wait][clear][end]"
msg_43,"[color(yellow)]噂屋トロ[color(white)]
……ふ～ん。なかなか良い情報だね。
っていうか、やるねキミ。
じゃあボクの情報だけど…
[wait][clear][end]"
msg_44,"[color(yellow)]噂屋トロ[color(white)]
へぇ～、その情報は知らなかったなぁ。
ムハァ～激大漁って感じ。
じゃあボクの情報を教えてあげるよ。
[wait][clear][end]"
msg_45,"[color(yellow)]噂屋トロ[color(white)]
あのね、この区にある[color(orange)]時間城[color(white)]ってお店で、
不思議な[color(orange)]魔法のカードを売ってる[color(white)]らしいんだ。
だけど魔法なんて本当にあるのかな？
[wait][clear][end]"
msg_46,"[color(yellow)]噂屋トロ[color(white)]
実はまた[color(orange)]時間城[color(white)]の噂を仕入れたんだ。
なんでもあそこの店主、
[color(orange)]魔法のカードの複製[color(white)]までやってるらしいよ。
[wait][clear][end]"
msg_47,"[color(yellow)]噂屋トロ[color(white)]
[color(orange)]月刊バトルマスター[color(white)]って雑誌知ってる？
実はあの本の懸賞に応募すると、
[color(orange)]本物の武器[color(white)]が当たるらしいんだ。
[wait][clear][end]"
msg_48,"[color(yellow)]噂屋トロ[color(white)]
[color(orange)]ファンタジーワールド[color(white)]って雑誌、知ってるかい？
噂じゃその雑誌の懸賞に応募すると
[color(orange)]本物の武器[color(white)]が当たるらしいんだ。
[wait][clear][end]"
msg_49,"[color(yellow)]噂屋トロ[color(white)]
うひょ～エンガワうま～い！！
だけど玲司クンにはあげないもんね。
うっふふ～
[wait][clear][end]"
msg_50,"[color(yellow)]噂屋トロ[color(white)]
望龍術…世界滅亡…トリフネかぁ…
なぜか、前にもこんな事件があった気がする…
そしてその時も僕はエンガワ食べてた気がする…
[wait][clear][color(yellow)]噂屋トロ[color(white)]
これって気のせいかな？
気のせいだよね？
[wait][clear][end]"
msg_51,"[color(yellow)]噂屋トロ[color(white)]
さっきまで、デキの悪い同僚に、
セールスのコツをレクチャーしてあげてたんだ。
少しはうまくなるかな……ムリだなきっと。
[wait][clear][end]"
msg_52,"[color(yellow)]噂屋トロ[color(white)]
玲司クンなら本社の方に帰ったよ。
何か大切な話でもあったの？
[wait][clear][end]"
msg_53,"[color(yellow)]噂屋トロ[color(white)]
あのさ…イケスの魚を注文したら、
髪の赤い女の人に、涙目で睨まれたんだけど…
ボク何か悪いことしたかな…
[wait][clear][end]"
msg_54,"[color(yellow)]噂屋トロ[color(white)]
ペルソナはね、もう一人の君であると同時に、
僕達みんなの一部でもあるんだ。
君は一人で戦っているんじゃないよ。
[wait][clear][color(yellow)]噂屋トロ[color(white)]
ペルソナの共鳴…
知ってたさ、全部。
だから…がんばってね。
[wait][clear][end]"
msg_55,"[color(yellow)]噂屋トロ[color(white)]
そう。
じゃあ、また噂が聞きたくなったら来てよ。
僕はここで、ひたすらエンガワ食べてるからさ。
[wait][clear][end]"
msg_56,"[color(yellow)]寿司公爵[color(white)]
この前、奥に座ってた社長を見かけてよ、
話しかけたらレッツ・ポジティブ…なんとか～って
そればっかり言うんだよ。どうしちまったんだ？
[wait][clear][end]"
msg_57,"[color(yellow)]寿司公爵[color(white)]
望龍術ったら、
最近人気の占いだったよなぁ。
それで世界を滅ぼす…なんてできんのかい？
[wait][clear][end]"
msg_58,"[color(yellow)]寿司公爵[color(white)]
なんでぃ、
さっきからグラグラしやがって！
ナマズでも暴れてんのか？
[wait][clear][end]"
msg_59,"[color(yellow)]寿司公爵[color(white)]
鳴海区の地下鉄工事。
ありゃホントは工事なんかじゃなくてよ、
アメノトリフネの発掘をしてるらしいんだわ。
[wait][clear][color(yellow)]寿司公爵[color(white)]
いや、俺もそういう噂を聞いただけで、
じかに中を見たわけじゃねぇんだが…
ありえねぇ話じゃねえよな？
[wait][clear][end]"
msg_60,"[color(yellow)]寿司公爵[color(white)]
なぁ…シバルバーって知らねぇか？
あのドデカイリングを見たとき、
思わずそう叫んじまってよ…
[wait][clear][color(yellow)]寿司公爵[color(white)]
だけどシバルバーって何だ？
それがどうにも思い出せねぇんだよなぁ…
[wait][clear][end]"
msg_61,"[color(yellow)]寿司公爵[color(white)]
ここの若旦那が行方不明なんだとよ。
こんな時だしなぁ…
さすがの大将も冷静じゃいられねぇか…
[wait][clear][end]"
msg_62,"[color(yellow)]寿司貴族[color(white)]
寿司貴族は寿司貴族だけに寿司が主食ッス！
故に自分も貴族の端くれとして恥じぬよう、
一生懸命エンガワを食ってるッス！！
[wait][clear][color(yellow)]寿司貴族[color(white)]
もうお腹がいっぱいで、
家に帰っても何も食べられないッス。
だけどいいんッス！これが貴族の生き様ッス！
[wait][clear][end]"
msg_63,"[color(yellow)]寿司貴族[color(white)]
あれ？
まだ自分に何か用ッスか？
もしかして、メンバーに入りたいッスか？
[wait][clear][end]"
msg_64,"何か用ですか？
[end_choice][clear][end]"
msg_64_Choice1,名前を言い当てる
msg_64_Choice2,話をする
msg_64_Choice3,用はない
msg_65,"スズキユウイチ
[end]"
msg_66,"[color(yellow)]寿司貴族[color(white)]
あえ？
それ…誰ッスか？
自分はそんな人、知らないッスよ。
[wait][clear][end]"
msg_67,"[color(yellow)]寿司貴族[color(white)]
あれれれ？
どうして自分の名を知ってるんスか？
あ、あなたは一体…
[wait][clear][color(yellow)]スズキユウイチ[color(white)]
えっ！？自分の捜索願が！？
ははーん、多分ママンの仕業ッスねぇ。
ママンはあれで心配性ッスから…
[wait][clear][color(yellow)]スズキユウイチ[color(white)]
了解ッス。報せてくれて感謝ッス！
しらいしさんとママンには僕が報告しておくッス。
ありがとうございましたッス！
[wait][clear][end]"
msg_68,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_69,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_70,"新世塾というのを聞いたことがありますか？
なんでもそんな組織があるらしいッスよ。
穢れを集めて…街の人達を洗脳してる…とか。
[wait][clear][end]"
msg_71,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_72,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_73,"自分は知ってるッス。
あの板さん、トリフネのニュース聞いたとき、
マジでビビッてたッス。
[wait][clear][end]"
msg_74,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_75,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_76,"あれはどう見ても、
カラ元気ってヤツッス。
[wait][clear][end]"
msg_77,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_78,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_79,"やっぱトリフネは実在するんスか？
だって、さっきから地震続きッス！！
じゃあやっぱり、世界滅亡も…アワワワワ…
[wait][clear][end]"
msg_80,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_81,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_82,"毎度の事ですが、
トリフネが出てきて一番ビビってたのは、
ここの板さんッス。
[wait][clear][end]"
msg_83,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_84,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_85,"例によって、
あれはカラ元気ッスよ。
[wait][clear][end]"
msg_86,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_87,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_88,"知ってるッス…大変な事くらい。
でもね、騒いでも何もならないでしょ？
だからヤケ食いッス。
[wait][clear][end]"
msg_89,"[color(yellow)]玲司[color(white)]
こいつ、
寿司食うばっかりで、
ちっとも俺の話を聞きやがらねぇ！
[wait][clear][end]"
msg_90,"[color(yellow)]玲司[color(white)]
用も粗方片付いたしな…
俺はそろそろ、行くぜ。
アンタ等も達者でな。
[wait][clear][color(yellow)]玲司[color(white)]
そうだ…
よく切れる包丁が欲しいって時は連絡してくれ。
すぐに駆けつけるからよ。
[wait][clear][end]"
msg_91,"[color(yellow)]玲司[color(white)]
ど、どうもこんにちは…でございまして、
私、包丁のセールスをしておりましまして…て…
……
[wait][clear][end]"
msg_92,"[color(yellow)]玲司[color(white)]
ダメだぁ…
どうにも、この甘ったるい喋り方は
性に合わねぇぜ…
[wait][clear][end]"
msg_93,"[color(yellow)]城戸玲司（きどれいじ）[color(white)]
[color(green)]かつて南条やエリーと共に戦ったペルソナ使い。
「伝説の裸番長」の異名を持つ。
南条が追う神取の異母兄弟でもある。[color(white)]
[wait][clear][end]"
msg_94,"[color(yellow)]玲司[color(white)]
ん？
ペルソナが共鳴しやがる…
…なるほどな、あんたがそうか。
[wait][clear][end]"
msg_95,"[color(yellow)]玲司[color(white)]
話は南条から聞いてるぜ。
昔の仲間が世話になってるらしいな。
一応、礼を言っとくぜ。
[wait][clear][end]"
msg_96,"[color(yellow)]板さん[color(white)]
へい、らっしゃい！！
おっ、初めてのお客さんかい？
よく来てくれたねえ！！
[wait][clear][color(yellow)]板さん[color(white)]
当店がってん寿司は新鮮なネタと、
神をも恐れぬ低価格が売りよ！！
[wait][clear][end]"
msg_97,"[color(yellow)]板さん[color(white)]
…それにしても…なんだな…
姉さんたぁ、他人って気がしねぇやなぁ。
よっしゃ！今日のところはお値段割引でぃ！！
[wait][clear][end]"
msg_98,"[color(yellow)]板さん[color(white)]
ヘイッ、らっしゃいっ！！
どうでぃ、いい呼び声だろ？
客はこうやって心と魂で迎えるもんでぃ。
[wait][clear][end]"
msg_99,"[color(yellow)]板さん[color(white)]
おっと、なんかへんな感じだねえ。
姉さんは他人って気がしねぇや。
よっしゃ！料金はオマケしとくぜぃ！
[wait][clear][end]"
msg_100,"[color(yellow)]板さん[color(white)]
ジャンジャン食べてってくんな！！
[end_choice][clear][end]"
msg_100_Choice1,食事をする
msg_100_Choice2,話をする
msg_100_Choice3,やめる
msg_100_Choice4,店の外に出る
msg_101,"[color(yellow)]板さん[color(white)]
おうっ！何が聞きたいんでい！
[end_choice][clear][end]"
msg_101_Choice1,世間話をする
msg_101_Choice2,食事の説明を聞く
msg_101_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_102,"[color(yellow)]板さん[color(white)]
他に何かあるかい！
どんどん言ってくれよ！！
威勢の良い客大歓迎でぃ！！
[end_choice][clear][end]"
msg_102_Choice1,食事をする
msg_102_Choice2,話をする
msg_102_Choice3,やめる
msg_102_Choice4,店の外に出る
msg_103,"[color(yellow)]板さん[color(white)]
おうっ！何が聞きたいんでい！
[end_choice][clear][end]"
msg_103_Choice1,世間話をする
msg_103_Choice2,食事の説明を聞く
msg_103_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_104,"[color(yellow)]板さん[color(white)]
なんでもスマイル平坂で
ボヤ騒動があったんだとよ！
火の用心だけはしっかりしねぇとな！
[wait][clear][end]"
msg_105,"[color(yellow)]板さん[color(white)]
世界が滅亡しようと、
がってん寿司は年中無休よ！
安心して来てくんな！！
[wait][clear][end]"
msg_106,"[color(yellow)]板さん[color(white)]
あり…
その赤いなりした兄ちゃん…
どっかで見た気がするなぁ…気のせいか？
[wait][clear][end]"
msg_107,"[color(yellow)]板さん[color(white)]
てやんでぃ、べらぼうめぃ！！
空を飛ぶたぁ、
この街も随分と生きが良いじゃねぇか！
[wait][clear][end]"
msg_108,"[color(yellow)]板さん[color(white)]
栄吉の奴？まだ帰ってねぇな…
アイツは大丈夫だ…簡単に死ぬ玉じゃねぇ…
[wait][clear][end]"
msg_109,"[color(yellow)]板さん[color(white)]
てめぇの倅が信じられなくて、
寿司が握れるかってんだ…！
あいつが帰ぇってくるまで、寿司を握るだけよ！
[wait][clear][end]"
msg_110,"[color(yellow)]板さん[color(white)]
おうっ！
ネタが新鮮なうちにまた来てくんな！
歓迎するからよ！てやんでぃ！
[wait][clear][end]"
msg_111,"[color(yellow)]板さん[color(white)]
おうっ、「食事」の説明だな。
うちの店で「食事をする」を選ぶと
自慢の寿司をふるまってやるぜっ！
[wait][clear][color(yellow)]板さん[color(white)]
うちの寿司にはなんと、
一時的に能力を高める効果があるんだぜっ！
効果はネタによって違うから、色々食べてみてくんな！
[wait][clear][color(yellow)]板さん[color(white)]
あと、一度何かを食べたり飲んだりしたら、
その効果が切れるまでつぎの食事はできねぇかんな！
ざっとこんなもんでぃ！
[wait][clear][end]"
msg_112,"[color(yellow)]板さん[color(white)]
そいつぁ、[var(msg_var_0)]円だぜ！
いいかい？
[end_choice][clear][end]"
msg_112_Choice1,はい
msg_112_Choice2,いいえ
