﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_18,"[color(yellow)]克哉[color(white)]
かなり先手を打たれてしまった格好だな。
恐怖感が伴ってるだけに、なおさら質が悪い…
竜蔵め…次は何をする気だ。
[wait][clear][end]"
msg_19,"[color(yellow)]パオフゥ[color(white)]
ほぉ…あの恰幅の良い大将もペルソナ使いか。
もっとも、あまり戦闘向きじゃないようだが…
[end]"
msg_20,"…どうだ？共鳴を読めばここまで分かるんだ。
[wait][clear][end]"
msg_21,"[color(yellow)]パオフゥ[color(white)]
須藤の息子が言ってた「向こう側」ってな、
一体なんなんだ…？
段平持ってた小僧は、何を知ってるってんだ…
[wait][clear][end]"
msg_22,"[color(yellow)]パオフゥ[color(white)]
そこの親父の話じゃ、中にいた客の一人が
突然訳も無く暴れだしたそうだ。
もしかしたら、芹沢と同じ理由かもしれんな…
[wait][clear][end]"
msg_23,"[color(yellow)]パオフゥ[color(white)]
ここのガキがなかなか帰ってこないそうだな。
もしもＪＯＫＥＲ呪いをしてたんなら、
攫われてる可能性もあるが…
[wait][clear][end]"
msg_24,"[color(yellow)]パオフゥ[color(white)]
あの松岡という男、なかなかのもんだ。
平和ボケしたこの国にもあんな男がいたんだな。
石頭の坊ちゃんには丁度良いお目付け役だぜ。
[wait][clear][end]"
msg_25,"[color(yellow)]南条[color(white)]
あいつは…トロか。
エルミン時代の学友ですよ。
こうして会うのは随分久しぶりですが。
[wait][clear][color(yellow)]南条[color(white)]
ペルソナはもう一人の自分。
裏を返せば最大の敵とも言える存在。
[wait][clear][color(yellow)]南条[color(white)]
己に勝てぬ者は、
ペルソナの力によって滅ぶ事もあります。
これは…彼から得た教訓ですが。
[wait][clear][end]"
msg_26,"[color(yellow)]南条[color(white)]
どうやら城戸も無事に脱出できたようだな。
しかし…まさか奴までこの街に来ていたとは…
桐島の時といい、これはただの偶然なのか？
[wait][clear][end]"
msg_27,"[color(yellow)]エリー[color(white)]
Ｗｏｗ！あれはＴｏｒｏですわ！
[end]"
msg_28,"Ｈｉｇｈｓｃｈｏｏｌ時代の同級生なんです。
こんな所で会うなんて、驚きましたわ。
[wait][clear][end]"
msg_29,"[color(yellow)]エリー[color(white)]
ＰＥＲＳＯＮＡの力も残ってるようですが、
あの頃に比べ、今は安定しているみたい。
[end]"
msg_30,"安心しましたわ。暴走はもう懲り懲りですもの。
[wait][clear][end]"
msg_31,"[color(yellow)]エリー[color(white)]
あそこにいるのは、Ｒｅｉｊｉですわ！
彼も昔の仲間なんですの。
まさかこんな所で会えるなんて。
[wait][clear][end]"
msg_32,"[color(yellow)]エリー[color(white)]
Ｗａｎｇｌｏｎｇ占いはよく当たると評判だし、
謎のＪＯＫＥＲ事件は恐ろしい。
人々が講演会に行くのも無理ありませんわ。
[wait][clear][end]"
msg_33,"[color(yellow)]牧村[color(white)]
ど…どうやら、この中で何かあったようだね。
キミ、記者なんだろ？放っておいていいの？
き…きっと大事件、特ダネかも知れないよ！
[wait][clear][end]"
msg_34,"[color(yellow)]噂屋トロ[color(white)]
何を隠そう、僕は凄腕のセールスマンなんだけど、
職業がら、噂話にくわしくなっちゃってね。
今じゃ「噂屋」なんて呼ばれてるんだ。
[wait][clear][end]"
msg_35,"[color(yellow)]横内健太（よこうちけんた）[color(white)]
[color(green)]エルミン学園の卒業生。
噂に詳しい、訪問販売のトップセールスマン。
営業成績は、実はペルソナの賜物らしい。[color(white)]
[wait][clear][end]"
msg_36,"[color(yellow)]噂屋トロ[color(white)]
噂話は、セールスの役に立つからね～
君も、何か面白い噂を聞いたら、ぜひ教えてよ。
かわりに、僕の知ってる噂を提供するからさ。
[wait][clear][end]"
msg_37,"[color(yellow)]噂屋トロ[color(white)]
ムハァ～
やっぱ寿司はエンガワだね、エンガワ最高ー！！
…で？何の用かな？
[wait][clear][end]"
msg_38,"[color(yellow)]噂屋トロ[color(white)]
何の用かな？
[end]"
msg_39,"[color(yellow)]噂屋トロ[color(white)]
他に何かある？
[end]"
msg_40,[end_choice][clear][end]
msg_40_Choice1,噂話を聞く
msg_40_Choice2,話をする
msg_40_Choice3,用はない
msg_41,"[color(yellow)]噂屋トロ[color(white)]
う～ん…
今のところ、他に情報は無いね。
また仕入れておくよ。
[wait][clear][end]"
msg_42,"[color(yellow)]噂屋トロ[color(white)]
ゴメン、ゴメン。
まだ新しい噂ネタ仕入れてないんだ。
また後で来てくれる？
[wait][clear][end]"
msg_43,"[color(yellow)]噂屋トロ[color(white)]
噂だね？
丁度良い話があるよ。
じゃあまず、そっちの情報聞かせて。
[wait][clear][end]"
msg_44,"[color(yellow)]噂屋トロ[color(white)]
ムハァ～いいとも～
じゃあ、そっちの情報から教えてくれる？
新鮮なヤツじゃないとダメだよ。
[wait][clear][end]"
msg_45,"[color(yellow)]噂屋トロ[color(white)]
……ふ～ん。なかなか良い情報だね。
っていうか、やるねキミ。
じゃあボクの情報だけど…
[wait][clear][end]"
msg_46,"[color(yellow)]噂屋トロ[color(white)]
へぇ～、その情報は知らなかったなぁ。
ムハァ～激大漁って感じ。
じゃあボクの情報を教えてあげるよ。
[wait][clear][end]"
msg_47,"[color(yellow)]噂屋トロ[color(white)]
あのね、この区にある[color(orange)]時間城[color(white)]ってお店で、
不思議な[color(orange)]魔法のカードを売ってる[color(white)]らしいんだ。
だけど魔法なんて本当にあるのかな？
[wait][clear][end]"
msg_48,"[color(yellow)]噂屋トロ[color(white)]
実はまた[color(orange)]時間城[color(white)]の噂を仕入れたんだ。
なんでもあそこの店主、
[color(orange)]魔法のカードの複製[color(white)]までやってるらしいよ。
[wait][clear][end]"
msg_49,"[color(yellow)]噂屋トロ[color(white)]
[color(orange)]月刊バトルマスター[color(white)]って雑誌知ってる？
実はあの本の懸賞に応募すると、
[color(orange)]本物の武器[color(white)]が当たるらしいんだ。
[wait][clear][end]"
msg_50,"[color(yellow)]噂屋トロ[color(white)]
[color(orange)]ファンタジーワールド[color(white)]って雑誌、知ってるかい？
噂じゃその雑誌の懸賞に応募すると
[color(orange)]本物の武器[color(white)]が当たるらしいんだ。
[wait][clear][end]"
msg_51,"[color(yellow)]噂屋トロ[color(white)]
ボクは噂屋であると同時に、
寿司貴族のメンバー、寿司男爵なのだ。
キミもメンバーに加えてあげようか？
[wait][clear][end]"
msg_52,"[color(yellow)]噂屋トロ[color(white)]
ところでキミ、ペルソナ使いでしょ？
実はボクもそうなんだよ。
同僚の玲司クンみたいに強くはないけどね。
[wait][clear][end]"
msg_53,"[color(yellow)]噂屋トロ[color(white)]
もう街はＪＯＫＥＲの噂で持ちきりだね。
ＪＯＫＥＲ呪いをしちゃった人は、
不安でしかたないんじゃない？
[wait][clear][end]"
msg_54,"[color(yellow)]噂屋トロ[color(white)]
さっき、あそこに座ってた社長サンが、
突然ボクに襲い掛かって来たんだ。
もう、心臓ビッグバン。
[wait][clear][color(yellow)]噂屋トロ[color(white)]
しかも大切なエンガワまで落とされて、
もう激、憤慨。即大パンチ出ちゃったね。
食べ物は大切にしなくちゃ駄目駄目だよ。
[wait][clear][end]"
msg_55,"[color(yellow)]噂屋トロ[color(white)]
そういえば、社長サンがいなくなる直前、
ペルソナの共鳴がしてたなァ…
もしかしてあの社長サンもペルソナ使い？
[wait][clear][end]"
msg_56,"[color(yellow)]噂屋トロ[color(white)]
え？講演会？
行かないよ、そんなの。
僕はエンガワ食べるので忙しいんだもんね。
[wait][clear][end]"
msg_57,"[color(yellow)]噂屋トロ[color(white)]
そう。
じゃあ、また噂が聞きたくなったら来てよ。
僕はここで、ひたすらエンガワ食べてるからさ。
[wait][clear][end]"
msg_58,"[color(yellow)]寿司公爵[color(white)]
そこの親父、急に羽振りが良くなっちまってよ。
社長が邪魔で出世できねえって、
いつも嘆いてたんだぜ？
[wait][clear][end]"
msg_59,"[color(yellow)]寿司公爵[color(white)]
そういやここの大将には息子さんがいたっけなぁ？
今は春日山高校の二年生なんだとよ。
後継ぎがいるってなぁ、羨ましいねぇ。
[wait][clear][end]"
msg_60,"[color(yellow)]寿司公爵[color(white)]
隣の親父、
邪魔な社長がＪＯＫＥＲに殺されたって大喜びよ。
…ったく、ああいう奴にだけはなりたくないね！
[wait][clear][end]"
msg_61,"[color(yellow)]寿司公爵[color(white)]
な、なんかよお、
隣の社長の様子が変なんだよ。
どうしちまったんだ？
[wait][clear][end]"
msg_62,"[color(yellow)]寿司公爵[color(white)]
え、えらいこった、あの社長の親父が
突然暴れ出してよ、トロ男爵に襲い掛かったんだ。
ところが逆にやられて一発ＫＯ。格好悪いよなぁ。
[wait][clear][color(yellow)]寿司公爵[color(white)]
……ありゃ？
ところで、その社長の親父は、
ドコ行ったんだ？
[wait][clear][end]"
msg_63,"[color(yellow)]寿司公爵[color(white)]
なんでも、ここの若旦那が
学校行ったきり帰ってこないんだってよ。
板さん、あれで内心、心配なんじゃねぇか？
[wait][clear][end]"
msg_64,"[color(yellow)]寿司公爵[color(white)]
さっきここの若旦那が帰って来たんだが、
青頭にスカートはいて、そりゃ派手な格好でよぉ！
大将、目ぇ血走らせて大激怒よ！
[wait][clear][color(yellow)]寿司公爵[color(white)]
…にしても、若旦那、様子がおかしかったなァ。
なんか暗い感じでよぉ、らしくねぇんだ。
神社へ行くって、フラフラ出て行っちまった。
[wait][clear][end]"
msg_65,"[color(yellow)]社長のおじさん[color(white)]
がはは！ついに憧れの社長職についたんですわ。
仕事なんぞ部下に任せて、こうして昼から寿司を
つまんどると、偉くなったのを実感しますなぁ！
[wait][clear][end]"
msg_66,"[color(yellow)]社長のおじさん[color(white)]
実は少し前に、目障りだった社長が殺されてね。
代わりに私が社長を務めることになったんだ。
ガハハハ、神様はいるもんだ！ガハハハ！！
[wait][clear][end]"
msg_67,"[color(yellow)]社長のおじさん[color(white)]
ワ…ワシがＪＯＫＥＲ呪いで社長を殺したんだ…
ま、まさか噂が本当になるなんて…
このままではワシもＪＯＫＥＲに…ウウゥゥ。
[wait][clear][end]"
msg_68,"[color(yellow)]寿司貴族[color(white)]
寿司貴族は寿司貴族だけに寿司が主食ッス！
故に自分も貴族の端くれとして恥じぬよう、
一生懸命エンガワを食ってるッス！！
[wait][clear][color(yellow)]寿司貴族[color(white)]
もうお腹がいっぱいで、
家に帰っても何も食べられないッス。
だけどいいんッス！これが貴族の生き様ッス！
[wait][clear][end]"
msg_69,"[color(yellow)]寿司貴族[color(white)]
あれ？
まだ自分に何か用ッスか？
もしかして、メンバーに入りたいッスか？
[wait][clear][end]"
msg_70,"何か用ですか？
[end_choice][clear][end]"
msg_70_Choice1,名前を言い当てる
msg_70_Choice2,話をする
msg_70_Choice3,用はない
msg_71,"スズキユウイチ
[end]"
msg_72,"[color(yellow)]寿司貴族[color(white)]
あえ？
それ…誰ッスか？
自分はそんな人、知らないッスよ。
[wait][clear][end]"
msg_73,"[color(yellow)]寿司貴族[color(white)]
あれれれ？
どうして自分の名を知ってるんスか？
あ、あなたは一体…
[wait][clear][color(yellow)]スズキユウイチ[color(white)]
えっ！？自分の捜索願が！？
ははーん、多分ママンの仕業ッスねぇ。
ママンはあれで心配性ッスから…
[wait][clear][color(yellow)]スズキユウイチ[color(white)]
了解ッス。報せてくれて感謝ッス！
しらいしさんとママンには僕が報告しておくッス。
ありがとうございましたッス！
[wait][clear][end]"
msg_74,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_75,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_76,"私は寿司貴族のメンバーっス。
寿司同好会「寿司貴族」は、
ここを情報交換の場にしてるっス。
[wait][clear][end]"
msg_77,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_78,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_79,"かく言う私も、
寿司ネタと噂ネタには目が無いっス。
今も、寿司男爵のトロさんに、噂聞いてたっス。
[wait][clear][end]"
msg_80,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_81,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_82,"板さんには高校生の息子さんがいるっス。
確か…栄吉という名前でしたっけ…
春日山高校の番長だそうっスよ。
[wait][clear][end]"
msg_83,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_84,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_85,"自分は噂は信じますが、それ以外には慎重ッス。
よって、あの放送も、すんなりとは信じないッス！
これ寿司貴族の誇りッス。
[wait][clear][end]"
msg_86,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_87,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_88,"トロ男爵は、やっぱ強かったっス！
襲い掛かってきた社長さんを、
一発で伸してしまったッス！！
[wait][clear][end]"
msg_89,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_90,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_91,"ちなみに板さんは奥で震えていたッス。
格闘合わせて１８段というのは、
本当なんスかねえ？
[wait][clear][end]"
msg_92,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_93,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_94,"実は私は知ってるっス。
栄吉クンはあれでかなりナルシストっす。
ビジュアル系を志すその姿はまさに親泣かせ…
[wait][clear][end]"
msg_95,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_96,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_97,"今頃…着替えるのに
手間取っているんじゃないですかね。
[wait][clear][end]"
msg_98,"[color(yellow)]寿司貴族[color(white)]
[end]"
msg_99,"[color(yellow)]スズキユウイチ[color(white)]
[end]"
msg_100,"なんかこの中は外とは別世界ッスねぇ。
世間は、例のテレビ放送でパニックだってのに…
やっぱ、講演会に行った方がいいッスかねぇ。
[wait][clear][end]"
msg_101,"[color(yellow)]玲司[color(white)]
だからよ…その…セールスのコツってやつを、
教えてくれねぇか？
近々、物入りでよ。
[wait][clear][end]"
msg_102,"[color(yellow)]噂屋トロ[color(white)]
だからさぁ、
玲司クンは強いけど、
もっと角を丸くしないと激ダメなんだよ。
[wait][clear][end]"
msg_103,"[color(yellow)]玲司[color(white)]
お前みたいになれってのか？
[wait][clear][end]"
msg_104,"[color(yellow)]噂屋トロ[color(white)]
だからね、大切なのはラブだよ。
お客様を愛する気持ちさ。
そうすればペルソナも力を貸してくれるよ。
[wait][clear][end]"
msg_105,"[color(yellow)]玲司[color(white)]
ラブったって…
そりゃ、かわいがるって事か？
[wait][clear][end]"
msg_106,"[color(yellow)]噂屋トロ[color(white)]
なんか君が言うと、
違う意味に聞こえるね。
[wait][clear][end]"
msg_107,"[color(yellow)]玲司[color(white)]
ったく…昼間っから寿司とは…
さすが営業成績Ｎｏ．１は違うぜ。
[wait][clear][end]"
msg_108,"[color(yellow)]噂屋トロ[color(white)]
君も食べれば？
[wait][clear][end]"
msg_109,"[color(yellow)]玲司[color(white)]
ど、どうもこんにちは…でございまして、
私、包丁のセールスをしておりましまして…て…
……
[wait][clear][end]"
msg_110,"[color(yellow)]玲司[color(white)]
ダメだぁ…
どうにも、この甘ったるい喋り方は
性に合わねぇぜ…
[wait][clear][end]"
msg_111,"[color(yellow)]城戸玲司（きどれいじ）[color(white)]
[color(green)]かつて南条やエリーと共に戦ったペルソナ使い。
「伝説の裸番長」の異名を持つ。
南条が追う神取の異母兄弟でもある。[color(white)]
[wait][clear][end]"
msg_112,"[color(yellow)]玲司[color(white)]
ん？
ペルソナが共鳴しやがる…
…なるほどな、あんたがそうか。
[wait][clear][end]"
msg_113,"[color(yellow)]玲司[color(white)]
話は南条から聞いてるぜ。
昔の仲間が世話になってるらしいな。
一応、礼を言っとくぜ。
[wait][clear][end]"
msg_114,"[color(yellow)]玲司[color(white)]
まぁ、困った事があったらいつでもいいな。
俺もある程度は手伝ってやる。
…ところで、包丁なんかいらねぇか？
[wait][clear][end]"
msg_115,"[color(yellow)]板さん[color(white)]
へい、らっしゃい！！
おっ、初めてのお客さんかい？
よく来てくれたねえ！！
[wait][clear][color(yellow)]板さん[color(white)]
当店がってん寿司は新鮮なネタと、
神をも恐れぬ低価格が売りよ！！
[wait][clear][end]"
msg_116,"[color(yellow)]板さん[color(white)]
…それにしても…なんだな…
姉さんたぁ、他人って気がしねぇやなぁ。
よっしゃ！今日のところはお値段割引でぃ！！
[wait][clear][end]"
msg_117,"[color(yellow)]板さん[color(white)]
ヘイッ、らっしゃいっ！！
どうでぃ、いい呼び声だろ？
客はこうやって心と魂で迎えるもんでぃ。
[wait][clear][end]"
msg_118,"[color(yellow)]板さん[color(white)]
おっと、なんかへんな感じだねえ。
姉さんは他人って気がしねぇや。
よっしゃ！料金はオマケしとくぜぃ！
[wait][clear][end]"
msg_119,"[color(yellow)]板さん[color(white)]
ジャンジャン食べてってくんな！！
[end_choice][clear][end]"
msg_119_Choice1,食事をする
msg_119_Choice2,話をする
msg_119_Choice3,やめる
msg_119_Choice4,店の外に出る
msg_120,"[color(yellow)]板さん[color(white)]
おうっ！何が聞きたいんでい！
[end_choice][clear][end]"
msg_120_Choice1,世間話をする
msg_120_Choice2,食事の説明を聞く
msg_120_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_121,"[color(yellow)]板さん[color(white)]
他に何かあるかい！
どんどん言ってくれよ！！
威勢の良い客大歓迎でぃ！！
[end_choice][clear][end]"
msg_121_Choice1,食事をする
msg_121_Choice2,話をする
msg_121_Choice3,やめる
msg_121_Choice4,店の外に出る
msg_122,"[color(yellow)]板さん[color(white)]
おうっ！何が聞きたいんでい！
[end_choice][clear][end]"
msg_122_Choice1,世間話をする
msg_122_Choice2,食事の説明を聞く
msg_122_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_123,"[color(yellow)]板さん[color(white)]
実はここにゃ移転して来たばかりでよ、
この前までは平坂区に店かまえてたんでぃ。
え？なんで移転したのかって？
[wait][clear][color(yellow)]板さん[color(white)]
占いよ、占い！
ここに店かまえりゃ大繁盛するんだってよ！
そうと聞いちゃ、ジッとしてらんねえだろ？
[wait][clear][end]"
msg_124,"[color(yellow)]板さん[color(white)]
漢字の「漢」と書いておとこと読む！！
なあ姉ちゃん、漢の道ってな何か知ってるか？
心・技・鯛よ！！べらぼうめぃ！！
[wait][clear][end]"
msg_125,"[color(yellow)]板さん[color(white)]
最近の若い者ってのは、
みんな歌歌いになりてぇのかな？
うちの馬鹿息子もそんな事言っててよ。
[wait][clear][color(yellow)]板さん[color(white)]
まったくあの野郎ときたら、
毎日フラフラしてばっかりでよぉ。
俺の跡目が継げんのかって、心配してんのよ。
[wait][clear][color(yellow)]板さん[color(white)]
あん？息子の意志かだと？
馬鹿言っちゃいけねぇよ、姉ちゃん！！
息子は親父の跡を継ぐ！昔から決まってんでぃ。
[wait][clear][end]"
msg_126,"[color(yellow)]板さん[color(white)]
さっき、妙な黒服着た連中がやって来てよ、
気絶した社長の旦那を連れて行っちまったんだよ。
一体全体…何がどうなってやがんでぃ！[wait][clear][end]"
msg_127,"[color(yellow)]板さん[color(white)]
あン？
そういや、栄吉はどうしたんだ？
学校から帰ってこねぇじゃねぇか！！
[wait][clear][color(yellow)]板さん[color(white)]
野郎、出前が嫌で寄り道でもしてやがんな？
帰ってきたら、獄門チョップの刑だぜ！！
チョップ！チョップ！！
[wait][clear][end]"
msg_128,"[color(yellow)]板さん[color(white)]
栄吉の野郎、何だったんだあの格好は！？
俺ァ、あんな格好するような息子を
育てた覚えはねぇぜ！！
[wait][clear][color(yellow)]板さん[color(white)]
仮装パーティだとかなんとか
言ってやがったが怪しいもんだぜ！
今度帰ってきたら、絶対絞り上げてやる！！
[wait][clear][end]"
msg_129,"[color(yellow)]板さん[color(white)]
おうっ！
ネタが新鮮なうちにまた来てくんな！
歓迎するからよ！てやんでぃ！
[wait][clear][end]"
msg_130,"[color(yellow)]板さん[color(white)]
おうっ、「食事」の説明だな。
うちの店で「食事をする」を選ぶと
自慢の寿司をふるまってやるぜっ！
[wait][clear][color(yellow)]板さん[color(white)]
うちの寿司にはなんと、
一時的に能力を高める効果があるんだぜっ！
効果はネタによって違うから、色々食べてみてくんな！
[wait][clear][color(yellow)]板さん[color(white)]
あと、一度何かを食べたり飲んだりしたら、
その効果が切れるまでつぎの食事はできねぇかんな！
ざっとこんなもんでぃ！
[wait][clear][end]"
msg_131,"[color(yellow)]板さん[color(white)]
そいつぁ、[var(msg_var_0)]円だぜ！
いいかい？
[end_choice][clear][end]"
msg_131_Choice1,はい
msg_131_Choice2,いいえ
