﻿msg_0,"パーティの人数が四人を超えています。
[wait][clear][end]"
msg_13,"[color(yellow)]克哉[color(white)]
同じ声、同じ姿…
それで自分は弟ではないと言われて納得できるか？
こっちはそれほど器用じゃないんだ。
[wait][clear][end]"
msg_14,"[color(yellow)]克哉[color(white)]
今の[tatsuya]なら、
親父の気持ちも分かるかも知れんな…
いつか…それを伝える日が来てほしいものだ。
[wait][clear][end]"
msg_15,"[color(yellow)]パオフゥ[color(white)]
一度にあれだけの人間を洗脳できるとして…
この珠閒瑠市の人間全てを洗脳するのに、
どれぐらいかかると思うよ？
[wait][clear][end]"
msg_16,"[color(yellow)]パオフゥ[color(white)]
噂がどんな現実を生み出そうと、
そいつを直接叩いちまえば済むこった。
違うか？
[wait][clear][end]"
msg_17,"[color(yellow)]パオフゥ[color(white)]
奴等、妙にあの[tatsuya]を
特別視してるように見える…
なぜだ…
[wait][clear][end]"
msg_18,"[color(yellow)]パオフゥ[color(white)]
俺は勿体つけられるのが嫌いでな、
サッサと秘密でも何でも教えて欲しいもんだ。
その岩戸山とやらに何かあるのか？
[wait][clear][end]"
msg_19,"[color(yellow)]パオフゥ[color(white)]
おい天野…お前さんの
デジャ・ヴュの秘密がわかるかどうかって
瀬戸際なんだぜ…？
[wait][clear][end]"
msg_20,"[color(yellow)]パオフゥ[color(white)]
とっとと引き返した方がいいんじゃねぇのか？
[wait][clear][end]"
msg_21,"[color(yellow)]パオフゥ[color(white)]
特異点と…「向こう側」の世界…
なるほどな。
やっと奴らの言っている事が理解できたぜ。
[wait][clear][end]"
msg_22,"[color(yellow)]パオフゥ[color(white)]
ここの店主…
洗脳も受けずに
あれだけ前向きとは、恐れ入るぜ。
[wait][clear][end]"
msg_23,"[color(yellow)]南条[color(white)]
人の悪しき面を奪う装置…
神取なくしてあの装置の完成はなかったでしょう。
しかしまさか、量産までしていたとは…
[wait][clear][end]"
msg_24,"[color(yellow)]南条[color(white)]
望龍術による世界滅亡…
アメノトリフネ…
確かにまともな人間の信じる話じゃない。
[wait][clear][end]"
msg_25,"[color(yellow)]南条[color(white)]
新世塾の起こした幾多の事象が全て布石となって、
この情報操作を実現させたんです。
まったく…我々はピエロもいいところだ！
[wait][clear][end]"
msg_26,"[color(yellow)]南条[color(white)]
…[suou]の眼は、どこかヤツに似ている…
あの神取の眼に…
…なぜそう思うのかは分かりませんが…
[wait][clear][end]"
msg_27,"[color(yellow)]南条[color(white)]
アラヤ神社と…
岩戸山か…
あの少年が見せようとしているのはまさか…
[wait][clear][end]"
msg_28,"[color(yellow)]南条[color(white)]
Ｍｒ．パオフゥの言う通りだ。
事は、貴女一人の問題では無さそうです。
早く戻った方がいい。
[wait][clear][end]"
msg_29,"[color(yellow)]エリー[color(white)]
どうやらあの方は、スマイル平坂以外の場所で
洗脳を受けてしまったようですわね…
やはり元を断たねば無意味ですわ。
[wait][clear][end]"
msg_30,"[color(yellow)]エリー[color(white)]
まさか私達の行動が
こんな結果を招いてしまうなんて…
…なんとか打開策を考えなくては！
[wait][clear][end]"
msg_31,"[color(yellow)]エリー[color(white)]
不思議と[tatsuya]は
他人という気がしませんわ。
前にもどこかで会ったかしら…
[wait][clear][end]"
msg_32,"[color(yellow)]エリー[color(white)]
ＡＲＡＹＡ神社…
そして…岩戸山。
もしかしたら[tatsuya]は…
[wait][clear][end]"
msg_33,"[color(yellow)]エリー[color(white)]
Ｍｒ．Ｂａｏｆｕの言う通りですわ。
早く戻りましょう。
[wait][clear][end]"
msg_34,"[color(yellow)][tatsuya][color(white)]
……
済まない…一人にしてくれ…
[wait][clear][end]"
msg_35,"[color(yellow)][tatsuya][color(white)]
出来るなら今ここで手を引いてほしい…
知らないほうが幸せな事だってあるんだ。
[wait][clear][end]"
msg_36,"[color(yellow)][tatsuya][color(white)]
…淳や栄吉達まで記憶を取り戻したら、
この世界も消えてしまう…
それだけは…ダメだ…！
[wait][clear][end]"
msg_37,"[color(yellow)][tatsuya][color(white)]
クッ…アメノトリフネ…
形までシバルバーと同じだ…
[wait][clear][end]"
msg_38,"[color(yellow)][tatsuya][color(white)]
二度と…同じ過ちは繰り返さない…
全ての因縁は、ここで断ち切る…！
俺はその為に、ここにいるんだ…
[wait][clear][end]"
msg_39,"[color(yellow)]オバサン・六女[color(white)]
はじめましてで、こんにちは～
私、サトミ七姉妹の六女なのよ～
アイテム購入は、ぜひ六女の店をよろしくねぇ～
[wait][clear][end]"
msg_40,"[color(yellow)]オバサン・六女[color(white)]
うひょひょ～なぜか胸が弾むのよ～
不思議とあなたとは危険な情事を想像しちゃう♥
これも相性なのかしら～だからオマケするのよ～
[wait][clear][end]"
msg_41,"[color(yellow)]オバサン・六女[color(white)]
はじめましてで、こんにちは～
私、サトミ七姉妹の六女なのよ～
アイテム購入は、ぜひ六女の店をよろしくねぇ～
[wait][clear][end]"
msg_42,"[color(yellow)]オバサン・六女[color(white)]
…って、あらぁ～初対面なのに心が弾むのよ～
不思議とあなたとは危険な情事を想像しちゃう♥
これも相性なのかしら～だからオマケするのよ～
[wait][clear][end]"
msg_43,"[color(yellow)]オバサン・六女[color(white)]
うひょひょひょ～
いらっしゃいま～せ～
[wait][clear][end]"
msg_44,"[color(yellow)]オバサン・六女[color(white)]
うひょひょひょ～
いらっしゃいま～せ～
[end_choice][clear][end]"
msg_44_Choice1,消費物を買う
msg_44_Choice2,アイテムを売る
msg_44_Choice3,話をする
msg_44_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_44_Choice5,やめる
msg_44_Choice6,店の外に出る
msg_45,"[color(yellow)]オバサン・六女[color(white)]
さぁ、何を売りたいのかしらぁ？
[end_choice][clear][end]"
msg_45_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_45_Choice2,[dbl_tab]消費物を売る
msg_45_Choice3,[dbl_tab]武器を売る
msg_45_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_45_Choice5,[dbl_tab]防具を売る
msg_45_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_45_Choice7,[dbl_tab]アクセサリーを売る
msg_46,"[color(yellow)]オバサン・六女[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_46_Choice1,世間話をする
msg_46_Choice2,売買の説明を聞く
msg_46_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_47,"[color(yellow)]オバサン・六女[color(white)]
他に何かあるかしらぁ～？
[end_choice][clear][end]"
msg_47_Choice1,消費物を買う
msg_47_Choice2,アイテムを売る
msg_47_Choice3,話をする
msg_47_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_47_Choice5,やめる
msg_47_Choice6,店の外に出る
msg_48,"[color(yellow)]オバサン・六女[color(white)]
さぁ、何を売りたいのかしら？
[end_choice][clear][end]"
msg_48_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_48_Choice2,[dbl_tab]消費物を売る
msg_48_Choice3,[dbl_tab]武器を売る
msg_48_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_48_Choice5,[dbl_tab]防具を売る
msg_48_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_48_Choice7,[dbl_tab]アクセサリーを売る
msg_49,"[color(yellow)]オバサン・六女[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_49_Choice1,世間話をする
msg_49_Choice2,売買の説明を聞く
msg_49_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_50,"[color(yellow)]オバサン・六女[color(white)]
あそこのオジサンどうしたのかしら～
もしかしてこれもサトミサウンドの影響かしら～
だとすると…私もやばいのよ～
[wait][clear][end]"
msg_51,"[color(yellow)]オバサン・六女[color(white)]
シクーッ！！ＴＶを見たのよ～
世界が滅んでしまうのよ～
これじゃ全国制覇できないのよ～
[wait][clear][color(yellow)]オバサン・六女[color(white)]
…だけど不思議なのよ～
前にもこんな事があったような気がするのよ～
気が動転しているからかしら～
[wait][clear][end]"
msg_52,"[color(yellow)]オバサン・六女[color(white)]
揺れたのよ～
何度も地震が起きたのよ～！！
もしかしてトリフネが動き出したの～！？
[wait][clear][end]"
msg_53,"[color(yellow)]オバサン・六女[color(white)]
うっひょひょひょ！！
例え世界が滅びても、サトミ一族は不滅よ～！
全国制覇ができなきゃ、このトリフネを統一よ～
[wait][clear][color(yellow)]オバサン・六女[color(white)]
まずは、
サトミタダシ、トリフネ支店を作るんだって、
姉さんが言ってたわ～うっひょひょひょ！！
[wait][clear][end]"
msg_54,"[color(yellow)]オバサン・六女[color(white)]
うひょひょひょ！
いかなる時もサトミタダシは営業中よ～
世界が滅べば、世界制覇も簡単なのよ～！
[wait][clear][end]"
msg_55,"[color(yellow)]オバサン・六女[color(white)]
毎度どうもなのよぉ～
[wait][clear][end]"
msg_56,"[color(yellow)]オバサン・六女[color(white)]
うひょひょひょ。
「売買」についてねぇ～。
[wait][clear][color(yellow)]オバサン・六女[color(white)]
まずは、購入の説明なのねぇ～。
うちの店で「消費物を買う」を選ぶと
消費アイテムを買うことができるわよぉ～。
[wait][clear][color(yellow)]オバサン・六女[color(white)]
あっ、そうそう、アイテムは持てる数が
決まってるからねぇ～。
[wait][clear][color(yellow)]オバサン・六女[color(white)]
次に、売却の説明なのねぇ～。
「アイテムを売る」を選んで、まず種類を決めて、
次に売りたいものを選んでねぇ～。
[wait][clear][color(yellow)]オバサン・六女[color(white)]
買取価格は元値の約半額くらいよぉ～。
あと、装備中の物は売ることができないからねぇ～。
それと、物によっては買取できない物もあるわよぉ～。
[wait][clear][color(yellow)]オバサン・六女[color(white)]
こんなとこかしらぁ～。
うひょひょひょ。
[wait][clear][end]"
msg_57,"[color(yellow)]おじさん[color(white)]
レッツ・ポジティブシンキングー！！
全てを前向きに！全てを明るく考えよう！！
レッツ・ポジティブシンキングー！！
[wait][clear][end]"
msg_58,"[color(yellow)]おじさん[color(white)]
レッツ・ポジティブシンキングー！！
世界は滅ぶ！優れた者のみ生き残るのだー！
そして、新たな時代の幕開けなのだー！！
[wait][clear][end]"
msg_59,"[color(yellow)]おじさん[color(white)]
レッツ・ポジティブシンキングー！！
聞こえる！トリフネの鼓動が聞こえるー！！
もうすぐ世界は滅亡だー！
[wait][clear][end]"
msg_60,"[color(yellow)]おじさん[color(white)]
レッツ・ポジティブシンキングー！！
トリフネだァ！トリフネだァ！！
これで穢れは消え、世界は浄化されるのだー！！
[wait][clear][end]"
msg_61,"[color(yellow)]おじさん[color(white)]
レッツ・ポジティブシンキングー！！
しかし…龍が消えてしまった…
世界は…変わらない…穢れたまま…
[wait][clear][color(yellow)]おじさん[color(white)]
ああっ！！
やり場の無い前向きなこの気持ち！！
どこに向ければいいんだぁ～！！
[wait][clear][end]"
msg_62,"[color(yellow)]若い男[color(white)]
あそこの親父、どうしたんだろうな？
レッツ・ポジティブシンキングーってそればっか。
だけど最近、ああいう人増えてるみたいだぜ。
[wait][clear][end]"
msg_63,"[color(yellow)]若い男[color(white)]
ＴＶ見たかい？
地下にアメノトリフネって遺跡があるらしいぜ！
なんでも、空まで飛ぶんだってさ！
[wait][clear][end]"
msg_64,"[color(yellow)]若い男[color(white)]
アンタ知ってる？
トリフネさえ飛んじまえば、
俺達は世界滅亡に巻き込まれずに済むんだぜ！
[wait][clear][end]"
msg_65,"[color(yellow)]若い男[color(white)]
アンタ知ってる？
新世塾が神事ってのをやると、
１２匹の龍が一箇所に集まっちまうんだってさ。
[wait][clear][color(yellow)]若い男[color(white)]
望龍術によると、１２匹の龍が集まると、
何かとんでもない天変地異が起こるらしいんだ。
…何が起こるかまでは知らないけどね。
[wait][clear][end]"
msg_66,"[color(yellow)]若い男[color(white)]
マジヤバイって…！
とりあえず、必要なもん揃えておかないと…！
他人のことなんて、かまってる場合じゃねぇよ！
[wait][clear][end]"
msg_67,"[color(yellow)]オバサン・六女[color(white)]
売れる物、持ってないじゃないの～。[wait][clear][end]"
msg_68,"[color(yellow)]オバサン・六女[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_68_Choice1,はい
msg_68_Choice2,いいえ
msg_69,"[color(yellow)]オバサン・六女[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_69_Choice1,はい
msg_69_Choice2,いいえ
