﻿msg_0,"○○月１３日ＡＭ：２時０３分
夢崎区クラブゾディアック
[end]"
msg_33,"１０年前に、俺と舞耶姉、栄吉、リサ、淳が出会った
事実を消すことで枝分かれしたこちら側では、
俺と舞耶姉が須藤に襲われることもなかったのだ。
[wait][clear][end]"
msg_34,"だが最近、俺が身体の主導権を取るようになってから、
この身体にも傷が浮き出るようになった。
こちら側が向こう側に侵食されつつある兆しだ。
[wait][clear][end]"
msg_35,"吉栄は答えずじっと俺の目を見上げていた。
女にしては背が高い方だが、それでも頭一つ分差がある。
まさか、中身が違う世界の[tatsuya]であることまでは
わかるまい。
[sync][wait][clear][end]"
msg_36,"[color(yellow)][tatsuya][color(white)]
俺の言った通りにするんじゃなかったのか？
これ以上厄介なことになる前に、早く帰れ吉栄。
[sync][wait][clear][end]"
msg_37,"吉栄は目をそらした。
[sync][wait][clear][end]"
msg_38,"[color(yellow)]杏奈[color(white)]
…あの人、殺されるの？
私、あの人にひどいこと言った。
[sync][wait][clear][end]"
msg_39,"何を言ったか知らないが、吉栄が気に病む必要はない。
こうなった責任は全部他の奴にある。
責任はそいつが取るべきだ。
[sync][wait][clear][end]"
msg_40,"[color(yellow)][tatsuya][color(white)]
心配するな、吉栄。
殺されやしない。
俺はそのために来た。
[sync][wait][clear][end]"
msg_41,"[color(yellow)]杏奈[color(white)]
ねぇ…
何をする気なの、[tatsuya]…
[sync][wait][clear][end]"
msg_42,"[color(yellow)][tatsuya][color(white)]
罪を…償う。
しばらく、俺に構わないでくれ。
[sync][wait][clear][end]"
msg_43,"俺はそう告げて吉栄の脇をすり抜けた。
他人と関わりを持つと、必ずこんな痛みがやってくる。
もう誰にもこんな思いはさせたくない。
これで終わらせる、何もかも。
[sync][wait][clear][end]"
msg_44,"[color(green)]外に出ている場合ではない。[color(white)]
[sync][wait][clear][end]"
msg_45,"[color(yellow)]杏奈[color(white)]
[tatsuya]…
[sync][wait][clear][end]"
msg_46,"[color(yellow)]若い男[color(white)]
さっき奥へ入っていった女性…
ここに似つかわしくない感じの美人だったな。
なぜこんな所へ？
[wait][clear][end]"
msg_47,"[color(yellow)]若い男[color(white)]
…！もしや、長年連れ添った相手と別れて、
その憂さ晴らしに…とか？
ってことは今口説けば高確率で落とせる？
[sync][wait][clear][end]"
msg_48,"[color(yellow)]若い女[color(white)]
ＪＯＫＥＲ…？
別に楽しければなんでもいいんじゃん？
[sync][wait][clear][end]"
msg_49,"[color(yellow)]若い女[color(white)]
さっきカッコイイ感じのおねーさんが奥へ
入ってったけど、どういう人なのかなー？
…実は怖い人達のお仲間とか？
[sync][wait][clear][end]"
msg_50,"[color(yellow)]若い女[color(white)]
美人は美人だけどさー、あの雰囲気は絶対
なんか裏で企んでる顔だって！いやマジで。
つか、女の目の前で他の女のハナシすんな！
[sync][wait][clear][end]"
msg_51,"[color(yellow)]若い女[color(white)]
あのＤＪ、占い当たってＤＪになったらしいけど、
私最近、ワンロンでツイてないんだぁ…
なんで私ばっかってムカつくよぉ～
[sync][wait][clear][end]"
msg_52,"[color(yellow)]ＤＪカナダ[color(white)]
ＨＥＹＹＯＨＥＹＹＯ𝅘𝅥𝅮
聞いていきなよカナダのトーク𝅘𝅥𝅮
ＫＡＮＡＤＡトーク𝅘𝅥𝅮
[sync][wait][clear][end]"
msg_53,"[color(yellow)]ＤＪカナダ[color(white)]
占い最高自分で決めるより楽でいい𝅘𝅥𝅮
行き当たりばったり人生にゃ占い必要𝅘𝅥𝅮
あんたに必要俺にも必要ＹＯＹＯＹＯ𝅘𝅥𝅮
[sync][wait][clear][end]"
msg_54,"[color(yellow)]若い男[color(white)]
ワンロン占いのワンロン千鶴、良い女だよなぁ～
いっぺんでいいから直に占って欲しいけど、
やっぱ高いのかなぁ～？
[sync][wait][clear][end]"
msg_55,"[color(yellow)]中村[color(white)]
もう何も言わねぇけどよ…
店を壊すのはやめてくれよ。
[wait][clear][end]"
msg_56,"[color(yellow)]中村[color(white)]
あ、あとその木刀、俺ンだから大事に扱えよ！
[sync][wait][clear][end]"
