﻿msg_0,"金田・片岡に連絡してください。
[wait][clear][end]"
msg_25,"[color(yellow)]南条[color(white)]
最近は、自ら決断する勇気が無く、
大切な選択さえ占いに委ねてしまう人が多いとか。
まさか…天野さんまでそうなのですか？
[wait][clear][end]"
msg_26,"[color(yellow)]南条[color(white)]
云豹の役目は、布石となる数件の猟奇殺人事件と、
ＪＯＫＥＲ狩りでしょう。それらも今回の
情報流布を成功させる為のものだったとしたら…
[wait][clear][end]"
msg_27,"[color(yellow)]南条[color(white)]
ふふん。
[suou]巡査部長とＭｒ．パオフゥを足して二で割れば
ちょうど良いかも知れませんね。
[wait][clear][end]"
msg_28,"[color(yellow)]南条[color(white)]
要石…か。
もっと望龍術に関して調べておくべきだったな…
そうすれば、他の封印は守れたかもしれん…
[wait][clear][end]"
msg_29,"[color(yellow)]エリー[color(white)]
あの占い師さんの声…どこかおかしいですわ…
無理にか細い声にしているような…
[end]"
msg_30,"…ま…まさか、実はおと…
[wait][clear][end]"
msg_31,"[color(yellow)]エリー[color(white)]
新世塾によるものと思われる数件の事件。
これらが全て、例の情報流布を成功させるための
下準備だったとしたら…それが終わった今は…
[wait][clear][end]"
msg_32,"[color(yellow)]エリー[color(white)]
Ｍｒ．ＫａｔｕｙａとＭｒ．Ｂａｏｆｕ。
足して二つに分ければ、
ちょうどよろしいんじゃないかしら。
[wait][clear][end]"
msg_33,"[color(yellow)]エリー[color(white)]
Ｗａｎｇｌｏｎｇ千鶴…彼女はＭｒ．神取に
何かを見出していたのかも知れませんね。
一人の女として…
[wait][clear][end]"
msg_34,"[color(yellow)][tatsuya][color(white)]
あの占い師…
「向こう側」じゃ噂屋をしていたが…
「こちら側」は違うのか。
[wait][clear][end]"
msg_35,"[color(yellow)][tatsuya][color(white)]
俺はまた…
みんなを裏切った事になるのか…
[end]"
msg_36,"済まない…一人にしてくれ。
[wait][clear][end]"
msg_37,"[color(yellow)][tatsuya][color(white)]
うららさんが、
「向こう側」で何て呼ばれてたか聞くから…
正直に答えただけなのに…
[wait][clear][end]"
msg_38,"[color(yellow)][tatsuya][color(white)]
奴を見た途端…
理性も何も消し飛んでしまった…
これほど…怒りを感じた事はないよ。
[wait][clear][end]"
msg_39,"[color(yellow)]気の小さな男[color(white)]
ボクってネ…
気が小さいもんだから…ダメなんだよネ…
何がダメかって…決断するの苦手なんだよネ…
[wait][clear][color(yellow)]気の小さな男[color(white)]
だからいつもこうして、
占ってもらうのよネ…
誰だって失敗は怖いもんネ。
[wait][clear][end]"
msg_40,"[color(yellow)]気の小さな男[color(white)]
あの…何なのかな？
ボクに何か用なのかな？
だったらサッサと言ってほしいのネ。
[wait][clear][end]"
msg_41,"んで…何の用かな？
[end_choice][clear][end]"
msg_41_Choice1,名前を言い当てる
msg_41_Choice2,話をする
msg_41_Choice3,用はない
msg_42,"イケナカユウタ
[end]"
msg_43,"[color(yellow)]気の小さな男[color(white)]
それって誰かな？
ボクの知らない名前だけれど…
誰かと勘違いしてるんでない？
[wait][clear][end]"
msg_44,"[color(yellow)]気の小さな男[color(white)]
ドキッ！？
どうしてボクの名前しってるのかな？
もしかしてキミ、超能力な人？
[wait][clear][color(yellow)]イケナカユウタ[color(white)]
なになに、人捜し？
ボクの捜索願が出てたの？
こりゃまたビックリなのネ。
[wait][clear][color(yellow)]イケナカユウタ[color(white)]
まあ事情はわかったから、了解なのネ。
しらいしさんにはボクから連絡しておくし、
とりあえずありがとサンネ。
[wait][clear][end]"
msg_45,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_46,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_47,"最近ここでワンロン占いを始めたらしいんだよネ。
しかも良く当たるって、既に評判なんだよネ。
だから来てみたんだけど…やっぱドキドキするネ。
[wait][clear][end]"
msg_48,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_49,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_50,"あの占い師さん、何でもやっちゃうんだネ。
今度は相性占いを始めたんだってネ。
だけど、男と相性良くなってもボクは悲しいネ。
[wait][clear][end]"
msg_51,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_52,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_53,"ここでは相性占いもよく当たると評判だよネ。
店主さんと相性良くしておくと、
ホントにオマケしてもらえたりするもんネ。
[wait][clear][end]"
msg_54,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_55,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_56,"だけどネ、
相性が良くなったからって、
必ず見返りがあるとは限らないのよネ。
[wait][clear][end]"
msg_57,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_58,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_59,"相性なんて気にしない人だっているし、
例えそれを感じていても、
表に出さない人もいるもんネ。
[wait][clear][end]"
msg_60,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_61,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_62,"占い師さんがパワーアップしたみたいだネ。
どうパワーアップしたかって、相性占いだネ。
答えで出てくる人が増えたらしいんだよネ。
[wait][clear][end]"
msg_63,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_64,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_65,"サトミタダシのおばちゃんが出てきたという人…
今がチャンスなのネ。
意外な人と会えるかもネ。
[wait][clear][end]"
msg_66,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_67,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_68,"本当に、ここのワンロン占いは良く当たるのネ。
それで占ってもらったんだけど。
どうやらボクは結婚できないらしいのネ…
[wait][clear][end]"
msg_69,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_70,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_71,"望龍術では、全１２匹いる龍が、
一箇所に集まると大惨事が起こると言ってるのネ。
世界が滅びるとしたら、きっとそれが原因だネ。
[wait][clear][end]"
msg_72,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_73,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_74,"さ…さっきから地震が凄いのネ。
何度も何度も揺れてるのネ。
きっとこれもトリフネのせいなのネ！？
[wait][clear][end]"
msg_75,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_76,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_77,"ト…トリフネ伝説は本当だったのネ！
これで１２匹の龍が集まれば…
世界は滅亡してしまうのネ！！
[wait][clear][end]"
msg_78,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_79,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_80,"だ、だけど、何が起こるのかは知らないのネ…
も…もしかしてポールシフトでも起こるんじゃ…
た…大変なのネ！
[wait][clear][end]"
msg_81,"[color(yellow)]気の小さな男[color(white)]
[end]"
msg_82,"[color(yellow)]イケナカユウタ[color(white)]
[end]"
msg_83,"りゅ、龍が消えちゃったのネ！！
それで、それで、空が真っ赤に…
こんな事、占いでも言ってなかったのよネ！
[wait][clear][end]"
msg_84,"[color(yellow)]若い男[color(white)]
なぁ、新世塾って聞いたことある？
なんか、そう名乗ってる連中がいるんだってさ。
…あれ…でも前にも、そういう話なかったっけ？
[wait][clear][end]"
msg_85,"[color(yellow)]若い男[color(white)]
廃工場の方に、
黒い車が何台も走って行ったけど…
あそこで何かあるのかな？
[wait][clear][end]"
msg_86,"[color(yellow)]若い男[color(white)]
なんでも、
廃工場の中で銃撃戦があったんだってさ。
なんかこの街も物騒になってきたな…
[wait][clear][end]"
msg_87,"[color(yellow)]若い男[color(white)]
穢れを持ってると、新世塾に殺されるって本当か？
だって、奴等この世界から、
穢れを消そうとしてんだろ？
[wait][clear][end]"
msg_88,"[color(yellow)]若い男[color(white)]
トリフネにいれば、俺達死ぬことはないんだよな？
だ…だけど、やっぱり穢れていたら
いずれ新世塾の奴等に…
[wait][clear][end]"
msg_89,"[color(yellow)]若い男[color(white)]
洗脳受けた連中、妙な事言ってたなぁ…
これは聞いていた新世界とは違う…とかなんとか。
何も聞いてないこっちは、よけいパニックだぜ。
[wait][clear][end]"
msg_90,"[color(yellow)]珠閒瑠ジニー[color(white)]
他にご用はあるかな？
何なりと打ち明けるが良い。
[sync][wait][clear][end]"
msg_91,"[color(yellow)]珠閒瑠ジニー[color(white)]
ここは人生という迷宮に迷った者が訪れる場所。
暗澹たる未来に一筋の光明を放ち、進むべき道筋を
指し示す場所。妾はその番人、珠閒瑠ジニー。
[sync][wait][clear][end]"
msg_92,"[color(yellow)]珠閒瑠ジニー[color(green)]
ハスキーボイスが、美人を連想させる占い師。
最近は、あまり当たらないと人気も低迷気味。
夜の街で、よく似た後姿を見かけたという噂も…[color(white)]
[sync][wait][clear][end]"
msg_93,"[color(yellow)]珠閒瑠ジニー[color(white)]
ほう、汝、ここを訪れるは初めてか？
ならば安心してその胸中、打ち明けるがよい。
この水晶とカードが必ずや光明を齎そうぞ。
[sync][wait][clear][end]"
msg_94,"[color(yellow)]珠閒瑠ジニー[color(white)]
おお、先日の客人じゃな。
実は最近、妾がワンロン占いを始めたらしいと、
どこからともなく噂が流れてな。
[sync][wait][clear][end]"
msg_95,"[color(yellow)]珠閒瑠ジニー[color(white)]
仕方ないからそれに合わせてたら、
本当に占いが当たるようになったのじゃ！！
これぞ神の思し召し！超ラッキー！！
[sync][wait][clear][end]"
msg_96,"[color(yellow)]珠閒瑠ジニー[color(white)]
これからは妾の齎す答え全てが現実となろう！
ささ、今度は大丈夫じゃ。
安心してその胸中、打ち明けるがよい。
[sync][wait][clear][end]"
msg_97,"[color(yellow)]珠閒瑠ジニー[color(white)]
うーむ…
妾は相性占いもしておったのか？
いや…していたような気もするが…
[sync][wait][clear][end]"
msg_98,"[color(yellow)]珠閒瑠ジニー[color(white)]
ま…まあ、何事も挑戦じゃ。
ワンロン占いもそれで始めたようなものじゃしな。
では、気を取りなおして…
[sync][wait][clear][end]"
msg_99,"[color(yellow)]珠閒瑠ジニー[color(white)]
新たに相性占いを始めたぞよ。
汝が望むならば、汝と相性がピタリと合う人物を、
この水晶に映し出してみせよう。
[sync][wait][clear][end]"
msg_100,"[color(yellow)]珠閒瑠ジニー[color(white)]
最近、妾に関して妙な噂ばかり流れて困る。
今度は、妾がパワーアップしたそうじゃ…
パワーアップって…つまりどうすれば良いのじゃ。
[sync][wait][clear][end]"
msg_101,"[color(yellow)]珠閒瑠ジニー[color(white)]
まぁ…やってやれない事はなし…
ワンロン占いもそうだったしな。
ここは開き直るしかないか。
[sync][wait][clear][end]"
msg_102,"[color(yellow)]珠閒瑠ジニー[color(white)]
新たに始めた相性占い。日頃の修行が実を結び、
更に多くの相性を感じ取れるようになったぞ。
百聞は一見にしかず。まずは試してみるがよい。
[sync][wait][clear][end]"
msg_103,"[color(yellow)]珠閒瑠ジニー[color(white)]
よく来たな。
[sync][wait][clear][end]"
msg_104,"[color(yellow)]珠閒瑠ジニー[color(white)]
して、本日はいかなる用件じゃ？
[end_choice][clear][end]"
msg_104_Choice1,占い
msg_104_Choice2,話を聞く
msg_104_Choice3,用は無い
msg_104_Choice4,店の外に出る
msg_105,"[color(yellow)]珠閒瑠ジニー[color(white)]
妾に何を聞きたいのだ？
[end_choice][clear][end]"
msg_105_Choice1,世間話をする
msg_105_Choice2,[if_all(LBIT_0003)]施設の説明を聞く
msg_105_Choice3,[if_all(LBIT_0004)]やめる
msg_106,"[color(yellow)]珠閒瑠ジニー[color(white)]
して、本日はいかなる用件じゃ？
[end_choice][clear][end]"
msg_106_Choice1,占い
msg_106_Choice2,相性占い
msg_106_Choice3,話を聞く
msg_106_Choice4,用は無い
msg_106_Choice5,店の外に出る
msg_107,"[color(yellow)]珠閒瑠ジニー[color(white)]
妾に何を聞きたいのだ？
[end_choice][clear][end]"
msg_107_Choice1,世間話をする
msg_107_Choice2,[if_all(LBIT_0003)]施設の説明を聞く
msg_107_Choice3,[if_all(LBIT_0004)]やめる
msg_108,"[color(yellow)]珠閒瑠ジニー[color(white)]
他にご用はあるかな？
何なりと打ち明けるが良い。
[sync][wait][clear][end]"
msg_109,"[color(yellow)]珠閒瑠ジニー[color(white)]
ぶつぶつ…やはりこれからはワンロン占いかしら…
あれの方がよく当たるって噂なのよね…ぶつぶつ。
占い、変えようかしら…ぶつぶつ。
[sync][wait][clear][end]"
msg_110,"[color(yellow)]珠閒瑠ジニー[color(white)]
また占いが当たるようになってなによりじゃ。
これを機に新しい占いに挑戦してみるか…
うーむ…やはり占いと言えば…
[sync][wait][clear][end]"
msg_111,"[color(yellow)]珠閒瑠ジニー[color(white)]
講演会で人間を洗脳してるというのは真の事か？
もしそうなら、あのワンロン千鶴も、
新世塾の仲間という事にはならぬか？
[sync][wait][clear][end]"
msg_112,"[color(yellow)]珠閒瑠ジニー[color(white)]
望龍術といえばワンロン占いの原形…
占いの術に世界を滅ぼすほどの力が
あるのじゃろうか…
[sync][wait][clear][end]"
msg_113,"[color(yellow)]珠閒瑠ジニー[color(white)]
ん…？あの赤き少年…
しばらく前に夢に出てきた少年と瓜二つじゃ…
これは…何か運命的なものを感じるのぉ。
[sync][wait][clear][end]"
msg_114,"[color(yellow)]珠閒瑠ジニー[color(white)]
わ…妾は高い所が苦手での…
街が空を飛んでいると思うと…
どうもお尻のあたりがスースーして…
[sync][wait][clear][end]"
msg_115,"[color(yellow)]珠閒瑠ジニー[color(white)]
外で何があったのじゃ？
妾はずっとここにいたので解らぬのじゃが…
龍がどうかしたのか？
[sync][wait][clear][end]"
msg_116,"[color(yellow)]珠閒瑠ジニー[color(white)]
済まんな…実はワンロン占いが流行り出してから、
なぜか妾の占いは
当たらなくなってしまったのじゃ。
[sync][wait][clear][end]"
msg_117,"[color(yellow)]珠閒瑠ジニー[color(white)]
鳴かず飛ばずの占い師…
これでは閑古鳥さえ近づかん…
なんとかせねば…
[sync][wait][clear][end]"
msg_118,"[color(yellow)]珠閒瑠ジニー[color(white)]
己が道を見失いし時は、
いつでも来るが良い。
[sync][wait][clear][end]"
msg_119,"[color(yellow)]珠閒瑠ジニー[color(white)]
ちなみに妾の相性占いはコンタクトとは無関係。
コマンドが変化したりはせんぞ。
誤解せぬようにな。
[sync][wait][clear][end]"
msg_120,"[color(yellow)]珠閒瑠ジニー[color(white)]
ちなみにパワーアップしても、
妾の相性占いはコンタクトとは無関係じゃ。
コマンドが変化したりはせんぞ。
[sync][wait][clear][end]"
msg_121,"[color(yellow)]珠閒瑠ジニー[color(white)]
では、占ってしんぜよう。
アムアムアム…ロイスキャロルプレミアム…
水晶よ、この者の未来を映し出すがよい…
[sync][wait][clear][end]"
msg_122,"[color(yellow)]珠閒瑠ジニー[color(white)]
…なんと、実はソナタ男じゃな？
その服装も髪型も全てはカモフラージュ、
もてぬ腹癒せに、他の男を騙して……
[sync][wait][clear][end]"
msg_123,"[color(yellow)]珠閒瑠ジニー[color(white)]
……
[sync][wait][clear][end]"
msg_124,"[color(yellow)]珠閒瑠ジニー[color(white)]
……違うわよね…
そんな訳無いわよね…
[sync][wait][clear][end]"
msg_125,"[color(yellow)]珠閒瑠ジニー[color(white)]
なるほどな。
ソナタには二人の子供がいるな。
一人は元気溌剌、小学一年生！！
[sync][wait][clear][end]"
msg_126,"[color(yellow)]珠閒瑠ジニー[color(white)]
……
[sync][wait][clear][end]"
msg_127,"[color(yellow)]珠閒瑠ジニー[color(white)]
……いないのね…
…独身なのよねきっと…
……分かってるわよそんなの…
[sync][wait][clear][end]"
msg_128,"[color(yellow)]珠閒瑠ジニー[color(white)]
なるほど…どうやらソナタ、異国の民か？
アメリカ…いや、フランス…
そう、フランス人じゃ！！
[sync][wait][clear][end]"
msg_129,"[color(yellow)]珠閒瑠ジニー[color(white)]
……
[sync][wait][clear][end]"
msg_130,"[color(yellow)]珠閒瑠ジニー[color(white)]
…日本人よね。
…日本人なんでしょ？やっぱり。
……分かってるわよそんなの…
[sync][wait][clear][end]"
msg_131,"[color(yellow)]珠閒瑠ジニー[color(white)]
むむっ、ソナタ…
実は胸にパットを入れておるな！！
偽ナイスバデーで、男の視線を我が物に…
[sync][wait][clear][end]"
msg_132,"[color(yellow)]珠閒瑠ジニー[color(white)]
……
[sync][wait][clear][end]"
msg_133,"[color(yellow)]珠閒瑠ジニー[color(white)]
じょ…冗談じゃ。
ホンキにするでない。
ほ…本物じゃな…やっぱり。
[sync][wait][clear][end]"
msg_134,"[color(yellow)]珠閒瑠ジニー[color(white)]
ほう…ソナタ、教師を生業としているな？
…たぶん、英語の教師じゃろう。
そう顔に書いてある。
[sync][wait][clear][end]"
msg_135,"[color(yellow)]珠閒瑠ジニー[color(white)]
……
[sync][wait][clear][end]"
msg_136,"[color(yellow)]珠閒瑠ジニー[color(white)]
…ちがう？…ちがってた？
…え？雑誌記者…
ハハ…全然違うわね…
[sync][wait][clear][end]"
msg_137,"[color(yellow)]珠閒瑠ジニー[color(white)]
よかろう。
では代金として３０００円頂くが…
[sync][wait][clear][end]"
msg_138,"[color(yellow)]珠閒瑠ジニー[color(white)]
それでも、かまわぬか？
[end_choice][clear][end]"
msg_138_Choice1,はい
msg_138_Choice2,いいえ
msg_139,"[color(yellow)]珠閒瑠ジニー[color(white)]
むむ…だが、代金が足らぬようじゃぞ。
阿弥陀の光も金次第。地獄の沙汰も金次第。
出直して来るがよい。
[sync][wait][clear][end]"
msg_140,"[color(yellow)]珠閒瑠ジニー[color(white)]
いや待て。まだ汝は[end]"
msg_141,光龍[end]
msg_142,黒龍[end]
msg_143,黄龍[end]
msg_144,青龍[end]
msg_145,赤龍[end]
msg_146,銀龍[end]
msg_147,"の呪縛から逃れておらぬ。
まずはその因果から抜け出し、
真の己を取り戻すことが肝要じゃ。
[sync][wait][clear][end]"
msg_148,"[color(yellow)]珠閒瑠ジニー[color(white)]
では、占ってしんぜよう。
ワンロン、ワンロン、ワンローン！！
[end]"
msg_149,"ローン、ローーーーン！！！
[sync][wait][clear][end]"
msg_150,"[color(yellow)]珠閒瑠ジニー[color(white)]
おお…光り輝く息吹を感じる…光龍じゃ…
汝しばしの間、多くの経験を積むことができようが
金運は下がりぎみ。節約を心がけよ。
[sync][wait][clear][end]"
msg_151,"[color(yellow)]珠閒瑠ジニー[color(white)]
おお…地の底を駆け巡る黒き気配…黒龍か…
汝しばしの間、金銭面では裕福となれようが、
大した経験は積めぬようじゃ。自重いたせ。
[sync][wait][clear][end]"
msg_152,"[color(yellow)]珠閒瑠ジニー[color(white)]
おお…この活発な龍は…黄龍か…
汝、しばし幸運に恵まれ、ラッキー続きじゃ。
今のうちに賭け事に走るのも良いじゃろう。
[sync][wait][clear][end]"
msg_153,"[color(yellow)]珠閒瑠ジニー[color(white)]
うむ…この潮流の如き静かな流動…青龍か…
汝しばしの間、他者の意外な面を見る事となろう。
弱気は強気へ、皆性格が対極へ流れるはずじゃ。
[sync][wait][clear][end]"
msg_154,"[color(yellow)]珠閒瑠ジニー[color(white)]
うむ…情熱に染まった真紅の奔流…赤龍…
汝とその仲間、しばしの間、興奮ぎみとなり、
勝利した後には、快哉を叫ぶ事となろう。
[sync][wait][clear][end]"
msg_155,"[color(yellow)]珠閒瑠ジニー[color(white)]
うむ…真意を込めた白き輝き…銀龍…
汝しばしの間、口下手となり、
他者との交渉事も梃子摺る事となろう。
[sync][wait][clear][end]"
msg_156,"[color(yellow)]珠閒瑠ジニー[color(white)]
さて…他にご用はあるかな？
何なりと打ち明けるが良い。
[end_choice][clear][end]"
msg_156_Choice1,占い
msg_156_Choice2,話を聞く
msg_156_Choice3,用は無い
msg_156_Choice4,店の外に出る
msg_157,"[color(yellow)]珠閒瑠ジニー[color(white)]
妾に何を聞きたいのだ？
[end_choice][clear][end]"
msg_157_Choice1,世間話をする
msg_157_Choice2,[if_all(LBIT_0003)]施設の説明を聞く
msg_157_Choice3,[if_all(LBIT_0004)]やめる
msg_158,"[color(yellow)]珠閒瑠ジニー[color(white)]
して、本日はいかなる用件じゃ？
[end_choice][clear][end]"
msg_158_Choice1,占い
msg_158_Choice2,相性占い
msg_158_Choice3,話を聞く
msg_158_Choice4,用は無い
msg_158_Choice5,店の外に出る
msg_159,"[color(yellow)]珠閒瑠ジニー[color(white)]
妾に何を聞きたいのだ？
[end_choice][clear][end]"
msg_159_Choice1,世間話をする
msg_159_Choice2,[if_all(LBIT_0003)]施設の説明を聞く
msg_159_Choice3,[if_all(LBIT_0004)]やめる
msg_160,"[color(yellow)]珠閒瑠ジニー[color(white)]
よかろう。
では代金として５０００円頂くが…
[sync][wait][clear][end]"
msg_161,"[color(yellow)]珠閒瑠ジニー[color(white)]
それでも、かまわぬか？
[end_choice][clear][end]"
msg_161_Choice1,はい
msg_161_Choice2,いいえ
msg_162,"[color(yellow)]珠閒瑠ジニー[color(white)]
むむ…だが、代金が足らぬようじゃぞ。
阿弥陀の光も金次第。地獄の沙汰も金次第。
出直して来るがよい。
[sync][wait][clear][end]"
msg_163,"えらんで
[end_choice][clear][end]"
msg_163_Choice1,[color(pink)]ワンロン始めた[color(white)]
msg_163_Choice2,[color(blue)]相性占い広めた[color(white)]
msg_163_Choice3,[color(green)]パワーアップ[color(white)]
msg_163_Choice4,[color(orange)]お金[color(white)]
msg_163_Choice5,[color(gray)]終了[color(white)]
msg_164,"[color(yellow)]珠閒瑠ジニー[color(white)]
妾に何を聞きたいのだ？
[end_choice][clear][end]"
msg_164_Choice1,占い
msg_164_Choice2,[if_all(MBIT_HI_GYPAISHO1)]相性占い
msg_164_Choice3,やめる
msg_165,"[color(yellow)]珠閒瑠ジニー[color(white)]
「占い」についての説明じゃな。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
当店で「占い」を選択すれば
妾が汝らの未来を占ってしんぜよう。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
占いの結果は、良い効果を得ることもあれば、
逆に悪い効果が出る場合もある。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
なお、一度占うと、その効果が切れるまで、
再度未来を占うことはできんぞ。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
未来を知るかの選択は汝ら次第だ。
何が見えても妾は責任は負わんからな。
[wait][clear][end]"
msg_166,"[color(yellow)]珠閒瑠ジニー[color(white)]
「相性占い」の説明じゃな。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
当店で「相性占い」を選択すると
妾の水晶がいくつか汝に質問を投げかける。
汝はそれに正直に答えるのじゃ。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
さすれば、汝と相性がぴったりの人物を
この水晶が示してくれるぞよ。
[wait][clear][color(yellow)]珠閒瑠ジニー[color(white)]
…その後、示された相手に会えば
何か良いことがあるかも知れぬな。
[wait][clear][end]"
