﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_14,"[color(yellow)]克哉[color(white)]
最近は眼鏡ではなくコンタクトレンズを使う
女性が多いようだな…
僕も一度考えたことがあるのだが…
[wait][clear][end]"
msg_15,"[color(yellow)]克哉[color(white)]
まてよ…
新世塾の幹部は穢れを祓っているのか？
洗脳を受けているようではなかったが…
[wait][clear][end]"
msg_16,"[color(yellow)]克哉[color(white)]
ニャルラトホテプさえ居なければ、
竜蔵もああまで人の道を外す事はなかっただろう。
今にして思えば、奴もまた哀れか…
[wait][clear][end]"
msg_17,"[color(yellow)]パオフゥ[color(white)]
いろいろ売ってるのは結構だが、
余計な物まで買うなよ。
荷物持ちだけは御免だからな。
[wait][clear][end]"
msg_18,"[color(yellow)]パオフゥ[color(white)]
ふん…
まさか坊ちゃんに俺の事を調べさせるとはな…
今回はあの甘ちゃんに一本取られたか…
[wait][clear][end]"
msg_19,"[color(yellow)]パオフゥ[color(white)]
さすがに漢方薬の類は置いてないか…
俺はどちらかと言えば、
そっちを使う方が多くてな。
[wait][clear][end]"
msg_20,"[color(yellow)]パオフゥ[color(white)]
珠閒瑠城か…
そういえば、あの本丸公園を作ったのも
竜蔵だった筈だが…
[wait][clear][end]"
msg_21,"[color(yellow)]パオフゥ[color(white)]
善も悪も抱えちまってるのが人間だ。
片方だけで人を計ろうってのが
そもそもの間違いなんだよ。
[wait][clear][end]"
msg_22,"[color(yellow)]南条[color(white)]
あわせて歌ってみるか…
ヒットポイント～
回復するなら～傷薬～と～
[wait][clear][end]"
msg_23,"[color(yellow)]南条[color(white)]
…！？
ゴ…ゴホッ、ゴホッ！
何か用ですか？
[wait][clear][end]"
msg_24,"[color(yellow)]南条[color(white)]
さ…最近の薬店というのは、
実に品数豊富ですね。
い…いやいや、関心しましたよ。
[wait][clear][end]"
msg_25,"[color(yellow)]南条[color(white)]
さ…最近の薬店というのは、
実に品数豊富ですね。
い…いやいや、関心しましたよ。
[wait][clear][end]"
msg_26,"[color(yellow)]南条[color(white)]
さすがに巡査部長は気付いているか…
もちろんＭｒ．パオフゥもそれは同じだろうが…
…もしかしたら…
[wait][clear][end]"
msg_27,"[color(yellow)]南条[color(white)]
誰にでも
知られたくない過去はあるものです。
それを調べるというのは、気が引けますね。
[wait][clear][end]"
msg_28,"[color(yellow)]南条[color(white)]
うむ…
ギターバージョンもなかなか良い。
さすがはサトミタダシ…
[wait][clear][end]"
msg_29,"[color(yellow)]エリー[color(white)]
ところでＭｓ．Ａｍａｎｏ、
薬局と薬店の違いってご存知？
私も最近知ったのですが…
[wait][clear][end]"
msg_30,"[color(yellow)]エリー[color(white)]
Ｍｒ．Ｋａｔｕｙａ、随分と慎重ですわね…
Ｋｅｉにも気をつけるようにと
念を押されましたわ。
[wait][clear][end]"
msg_31,"[color(yellow)]エリー[color(white)]
Ｍｓ．Ｕｒａｒａ、機嫌が悪いようですわね。
まあ全員無事だった事ですし、
良かったじゃありませんか。
[wait][clear][end]"
msg_32,"[color(yellow)]エリー[color(white)]
一応、本職はＭｏｄｅｌですから、
化粧品には気を使ってますの。
もっぱらＢｒａｎｄで決めてしまいますが…
[wait][clear][end]"
msg_33,"[color(yellow)][tatsuya][color(white)]
ダイエット食品…か。
[end]"
msg_34,"そう言えば、ゆきのさん…
まだ気にしてるのか…？
[wait][clear][end]"
msg_35,"[color(yellow)][tatsuya][color(white)]
ダイエット食品…か。
[end]"
msg_36,"そう言えば、ゆきのさん…
まだ気にしてるのか…？
[wait][clear][end]"
msg_37,"[color(yellow)][tatsuya][color(white)]
ヤツはこの世界にも、
「向こう側」と同じ破滅を齎そうとしている…
…運命の…車輪…か。
[wait][clear][end]"
msg_38,"[color(yellow)][tatsuya][color(white)]
例えこの世界を救えても、
ヤツが居る限り、同じ不幸がまた起きる…
皆が変わらなければいけないんだ…
[wait][clear][end]"
msg_39,"[color(yellow)]占い好きの女の子[color(white)]
はァ…早く来ないかなぁ…私の待ち人。
占いでここにいれば、待ち人が来るって出てたの。
きっと素敵な人なんだろうなぁ…
[wait][clear][end]"
msg_40,"[color(yellow)]占い好きの女の子[color(white)]
あれ…
まだ何か用ですか？
[wait][clear][end]"
msg_41,"何の用でしょう？
[end_choice][clear][end]"
msg_41_Choice1,名前を言い当てる
msg_41_Choice2,話をする
msg_41_Choice3,用はない
msg_42,"イイダサトミ
[end]"
msg_43,"[color(yellow)]占い好きの女の子[color(white)]
え？
私そんな名前じゃありませんよ。
人違いじゃありません？
[wait][clear][end]"
msg_44,"[color(yellow)]占い好きの女の子[color(white)]
ゲゲッ！！
なんで私の名前、知ってるんですか！？
ま…まさか…アナタが私の待ち人…
[wait][clear][end]"
msg_45,"[color(yellow)]イイダサトミ[color(white)]
へ？人捜しで私の依頼が？
…そっか…きっとまた弟の仕業ね！！
もう！捜索願だなんて大げさなんだから！
[wait][clear][color(yellow)]イイダサトミ[color(white)]
あ…でも、ありがとうございました。
とりあえず、しらいしさんには
私から連絡しておきます。済みませんでした。
[wait][clear][end]"
msg_46,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_47,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_48,"ねぇ、講演会に行くと洗脳されちゃうってホント？
だけど…穢れを取らないと女媧に憑かれちゃうって
ワンロン千鶴が言ってたし…どうしよう…
[wait][clear][end]"
msg_49,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_50,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_51,"望龍術はね、それぞれの地脈を龍に例えて、
その龍の動きから、人の人生や未来を占うの。
その望龍術で世界を滅ぼそうなんて…
[wait][clear][end]"
msg_52,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_53,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_54,"望龍術では１２匹の龍が、一箇所に集まると、
大変な災害が起こると言っているの。
もしかして、それを起こそうとしてるのかな…
[wait][clear][end]"
msg_55,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_56,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_57,"望龍術に出てくる龍は、みんな要石の力で
決まった道筋しか走らないはずなの。
普通なら一箇所に集まったりできない筈だけど…
[wait][clear][end]"
msg_58,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_59,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_60,"龍よ！龍が来るわ！！
１２匹全ての龍が一箇所に集まるのよ！
世界は滅亡してしまうわ！
[wait][clear][end]"
msg_61,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_62,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_63,"何よこれぇ…
新世塾の言ってたことと全然違うじゃん！！
もぅ、何がどうなってんのぉ！？
[wait][clear][end]"
msg_64,"[color(yellow)]イイダサトミ[color(white)]
知ってる？青葉区の[color(orange)]エテーリア[color(white)]がね、
[color(orange)]他店との差別化を図ることにした[color(white)]らしいの。
…エステ業界も競争が激しいからね。
[wait][clear][end]"
msg_65,"[color(yellow)]おじさん[color(white)]
この街に、新世塾と名乗る、
危険な連中がいるそうですよ。
科学館の事件も、そいつらの仕業ですかね？
[wait][clear][end]"
msg_66,"[color(yellow)]おじさん[color(white)]
廃工場の方に、
黒い車が何台も入っていくのを見たんです。
中で何かしているのでしょうか？
[wait][clear][end]"
msg_67,"[color(yellow)]おじさん[color(white)]
あ…あれって銃声ですよね？
廃工場の中から何度も聞こえたんですよ。
中で何かあったんですかね？
[wait][clear][end]"
msg_68,"[color(yellow)]おじさん[color(white)]
あの…鳴海区でアメノトリフネを
発掘しているという噂は本当でしょうか？
なんでも地下鉄工事を装ってるそうですが…
[wait][clear][end]"
msg_69,"[color(yellow)]おじさん[color(white)]
家族と一緒に、田舎へ帰ろうと思ってたんです…
この街は物騒ですから…
しかし、これでは逃げる事も出来ませんよ。
[wait][clear][end]"
msg_70,"[color(yellow)]おじさん[color(white)]
あれは確か…芸能人のブラウンさんでしたよ。
いや、彼が天誅軍と戦ってたんです。
チャラチャラしてて、実は強かったんですねぇ。
[wait][clear][end]"
msg_71,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょひょ～私が次女なのよぉ～
新たに六女、七女も加わって、
珠閒瑠市制覇は目前なのよぉ～[wait][clear][color(yellow)]オバサン・次女[color(white)]
だから当店、次女の店もよろしくねぇ～
のりのりサウンド聞きながら、
のりのりでアイテム買ってちょうだぁ～い。
[wait][clear][end]"
msg_72,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょひょ～私が次女なのよぉ～
新たに六女、七女も加わって、
珠閒瑠市制覇は目前なのよぉ～[wait][clear][color(yellow)]オバサン・次女[color(white)]
だから当店、次女の店もよろしくねぇ～
あなたとは相性も良さそうだから、
特別価格で販売しちゃうわよ～[wait][clear][end]"
msg_73,"[color(yellow)]オバサン・次女[color(white)]
あらぁ、来てくれたのねぇ～
アナタが来ると、なぜか嬉しいのよぉ～
掟に逆らって、オマケまでしちゃうのよぉ～
[wait][clear][end]"
msg_74,"[color(yellow)]オバサン・次女[color(white)]
いらっしゃ～い。
うひょひょひょ。
サトミタダシ港南支店にようこそ～𝅘𝅥𝅮
[wait][clear][end]"
msg_75,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょ～
いらっしゃいま～せ～
[end_choice][clear][end]"
msg_75_Choice1,消費物を買う
msg_75_Choice2,アイテムを売る
msg_75_Choice3,話をする
msg_75_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_75_Choice5,やめる
msg_75_Choice6,店の外に出る
msg_76,"[color(yellow)]オバサン・次女[color(white)]
さぁ、何を売りたいのかしらぁ？
[end_choice][clear][end]"
msg_76_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_76_Choice2,[dbl_tab]消費物を売る
msg_76_Choice3,[dbl_tab]武器を売る
msg_76_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_76_Choice5,[dbl_tab]防具を売る
msg_76_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_76_Choice7,[dbl_tab]アクセサリーを売る
msg_77,"[color(yellow)]オバサン・次女[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_77_Choice1,世間話をする
msg_77_Choice2,売買の説明を聞く
msg_77_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_78,"[color(yellow)]オバサン・次女[color(white)]
はいはぁ～い。
他にご用はあるかしらぁ～
[end_choice][clear][end]"
msg_78_Choice1,消費物を買う
msg_78_Choice2,アイテムを売る
msg_78_Choice3,話をする
msg_78_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_78_Choice5,やめる
msg_78_Choice6,店の外に出る
msg_79,"[color(yellow)]オバサン・次女[color(white)]
さぁ、何を売りたいのかしら？
[end_choice][clear][end]"
msg_79_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_79_Choice2,[dbl_tab]消費物を売る
msg_79_Choice3,[dbl_tab]武器を売る
msg_79_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_79_Choice5,[dbl_tab]防具を売る
msg_79_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_79_Choice7,[dbl_tab]アクセサリーを売る
msg_80,"[color(yellow)]オバサン・次女[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_80_Choice1,世間話をする
msg_80_Choice2,売買の説明を聞く
msg_80_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_81,"[color(yellow)]オバサン・次女[color(white)]
なんでも、話題の講演会に参加すると、
みんな洗脳されちゃうそうね～
でも洗脳ならこっちも負けないのよ～
[wait][clear][color(yellow)]オバサン・次女[color(white)]
くらえ、サトミサウンドー！！
うひょひょひょ！！
みんな虜にしてみせるわよ～
[wait][clear][end]"
msg_82,"[color(yellow)]オバサン・次女[color(white)]
あなたトリフネ伝説って知ってる～？
私も最近テレビで知ったんだけど、
ホントにそんな物がこの街の下にあるのかしら？
[wait][clear][end]"
msg_83,"[color(yellow)]オバサン・次女[color(white)]
廃工場の中で銃撃戦があったらしいのよ～
シクーッ、この街って
こんなに物騒だったかしら～
[wait][clear][end]"
msg_84,"[color(yellow)]オバサン・次女[color(white)]
今度、サトミタダシ、トリフネ支店を
作ることになったのよ～！！
全国制覇が駄目ならトリフネを制覇するのよ～！
[wait][clear][end]"
msg_85,"[color(yellow)]オバサン・次女[color(white)]
もうテレビも映らなくなっちゃったのよ～
最後に見たニュースじゃ、まだ地上は
滅亡してなかったけど、今はどうかしらね～
[wait][clear][end]"
msg_86,"[color(yellow)]オバサン・次女[color(white)]
はいはい、ありがとねぇ～
また来てちょうだいなァ～
[wait][clear][end]"
msg_87,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょ。
「売買」についてねぇ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
まずは、購入の説明なのねぇ～。
うちの店で「消費物を買う」を選ぶと
消費アイテムを買うことができるわよぉ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
あっ、そうそう、アイテムは持てる数が
決まってるからねぇ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
次に、売却の説明なのねぇ～。
「アイテムを売る」を選んで、まず種類を決めて、
次に売りたいものを選んでねぇ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
買取価格は元値の約半額くらいよぉ～。
あと、装備中の物は売ることができないからねぇ～。
それと、物によっては買取できない物もあるわよぉ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
こんなとこかしらぁ～。
うひょひょひょ。
[wait][clear][end]"
msg_88,"[color(yellow)]オバサン・次女[color(white)]
売れる物、持ってないじゃないの～。[wait][clear][end]"
msg_89,"[color(yellow)]オバサン・次女[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_89_Choice1,はい
msg_89_Choice2,いいえ
msg_90,"[color(yellow)]オバサン・次女[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_90_Choice1,はい
msg_90_Choice2,いいえ
