﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_24_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_25,"[color(yellow)]オバサン・次女[color(white)]
はいはぁ～い。
他にご用はあるかしらぁ～
[end_choice][clear][end]"
msg_25_Choice1,消費物を買う
msg_25_Choice2,アイテムを売る
msg_25_Choice3,話をする
msg_25_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_25_Choice5,やめる
msg_25_Choice6,店の外に出る
msg_26,"[color(yellow)]オバサン・次女[color(white)]
さぁ、何を売りたいのかしら？
[end_choice][clear][end]"
msg_26_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_26_Choice2,[dbl_tab]消費物を売る
msg_26_Choice3,[dbl_tab]武器を売る
msg_26_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_26_Choice5,[dbl_tab]防具を売る
msg_26_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_26_Choice7,[dbl_tab]アクセサリーを売る
msg_27,"[color(yellow)]オバサン・次女[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_27_Choice1,世間話をする
msg_27_Choice2,売買の説明を聞く
msg_27_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_28,"[color(yellow)]オバサン・次女[color(white)]
各支店共々、よろしく～と言いたい所だけど。
売上額は姉妹で毎年競争してるのよねぇ～
家族と言えど商売敵～だからうちをヨロシクね～
[wait][clear][end]"
msg_29,"[color(yellow)]オバサン・次女[color(white)]
あなた科学館で何があったか知らない？
ここからでも爆発してるのが見えたのよぉ。
あれってただの火事とは思えないわよねぇ。
[wait][clear][end]"
msg_30,"[color(yellow)]オバサン・次女[color(white)]
チャンスなのよぉ～
今、ＪＯＫＥＲ予防薬なんか売り出したら、
メガヒット間違い無しなのよぉ～[wait][clear][color(yellow)]オバサン・次女[color(white)]
シクー！だけど、作り方が分からないのねぇ～
大体、ＪＯＫＥＲになるってどういうこと？
何かに変身しちゃうとかぁ？[wait][clear][end]"
msg_31,"[color(yellow)]オバサン・次女[color(white)]
はいはい、ありがとねぇ～
また来てちょうだいなァ～
[wait][clear][end]"
msg_32,"[color(yellow)]牧村[color(white)]
いたたたた…
な…なぜか急にお腹が…
ちょ…ちょっとトイレに行ってきていいかな？[wait][clear][color(yellow)]牧村[color(white)]
…今時、こんな手にはひっかからないか…
[wait][clear][end]"
msg_33,"[color(yellow)]占い好きの女の子[color(white)]
はァ…早く来ないかなぁ…私の待ち人。
占いでここにいれば、待ち人が来るって出てたの。
きっと素敵な人なんだろうなぁ…
[wait][clear][end]"
msg_34,"[color(yellow)]占い好きの女の子[color(white)]
あれ…
まだ何か用ですか？
[wait][clear][end]"
msg_35,"何の用でしょう？
[end_choice][clear][end]"
msg_35_Choice1,名前を言い当てる
msg_35_Choice2,話をする
msg_35_Choice3,用はない
msg_36,"イイダサトミ
[end]"
msg_37,"[color(yellow)]占い好きの女の子[color(white)]
え？
私そんな名前じゃありませんよ。
人違いじゃありません？
[wait][clear][end]"
msg_38,"[color(yellow)]占い好きの女の子[color(white)]
ゲゲッ！！
なんで私の名前、知ってるんですか！？
ま…まさか…アナタが私の待ち人…
[wait][clear][end]"
msg_39,"[color(yellow)]イイダサトミ[color(white)]
へ？人捜しで私の依頼が？
…そっか…きっとまた弟の仕業ね！！
もう！捜索願だなんて大げさなんだから！
[wait][clear][color(yellow)]イイダサトミ[color(white)]
あ…でも、ありがとうございました。
とりあえず、しらいしさんには
私から連絡しておきます。済みませんでした。
[wait][clear][end]"
msg_40,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_41,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_42,"やっぱこれからはワンロン占いよね。
珠閒瑠ジニーなんかに通ってる場合じゃないわ。
今度こそ、理想の待ち人を見つけてみせる！！
[wait][clear][end]"
msg_43,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_44,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_45,"私はねぇ、３月生まれだから、白龍！
とっても情緒的な気質なんだって。
でね、白龍だったら…光龍と相性良いのよ。
[wait][clear][end]"
msg_46,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_47,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_48,"聞いた聞いた？珠閒瑠ジニーがね、
ワンロン占いを始めたんですって。
呪文の言葉に注目よ！
[wait][clear][end]"
msg_49,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_50,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_51,"珠閒瑠ジニーなんだけど、
ワンロン占いに切り替えた途端、
またよく当たるようになったらしいよ。
[wait][clear][end]"
msg_52,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_53,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_54,"キャーッ！待ってました！
珠閒瑠ジニーで、相性占いを始めたらしいの！
ワンロンにしてからよく当たってるし期待大ね！
[wait][clear][end]"
msg_55,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_56,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_57,"私ね、占いって大好きなの♥
だって、言われた通りにしておけば
失敗する事無いし、何より悩まずに済むでしょ？
[wait][clear][end]"
msg_58,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_59,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_60,"「おまじない」ってカワイイ印象あるけど、
漢字で書くと「お呪い」なんだよ。
ちょっと怖いでしょ？[wait][clear][end]"
msg_61,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_62,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_63,"ちなみにＪＯＫＥＲ呪いは
「じょーかーのろい」じゃなくて、
「じょーかーまじない」って読むの。[wait][clear][end]"
msg_64,"[color(yellow)]占い好きの女の子[color(white)]
[end]"
msg_65,"[color(yellow)]イイダサトミ[color(white)]
[end]"
msg_66,"呪いはね、それをした人間も殺してしまうのよ。
だからＪＯＫＥＲ呪いも危ない気したんだぁ。
良かった、やんなくて。
[wait][clear][end]"
msg_67,"[color(yellow)]おじさん[color(white)]
どうやら小学生達は、科学館の屋上に飾られた
飛行船を本物と思っているようですね。
息子がそう言っていました。[wait][clear][color(yellow)]おじさん[color(white)]
そう言えば今日は社会見学で、
その科学館に行くと言っていました。
今頃、中で大騒ぎしてるでしょう。
[wait][clear][end]"
msg_68,"[color(yellow)]おじさん[color(white)]
良かった…本当に良かった…
科学館に行ってた息子が無事に帰ってきたんです。
火事と聞いた時は心臓が止まりそうでしたよ。[wait][clear][color(yellow)]おじさん[color(white)]
しかし、帰ってきた息子はずぶ濡れでしてね、
飛行船で脱出して海に落ちたと言ってるんです。
いったい、あそこで何があったのでしょう…
[wait][clear][end]"
msg_69,"[color(yellow)]おじさん[color(white)]
ワンロン千鶴の言ってたこと、本当でしょうか？
科学館の火災といい、どうもこの街全体が、
狂い始めているような気がします。
[wait][clear][end]"
msg_70,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょ。
「売買」についてねぇ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
まずは、購入の説明なのねぇ～。
うちの店で「消費物を買う」を選ぶと
消費アイテムを買うことができるわよぉ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
あっ、そうそう、アイテムは持てる数が
決まってるからねぇ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
次に、売却の説明なのねぇ～。
「アイテムを売る」を選んで、まず種類を決めて、
次に売りたいものを選んでねぇ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
買取価格は元値の約半額くらいよぉ～。
あと、装備中の物は売ることができないからねぇ～。
それと、物によっては買取できない物もあるわよぉ～。
[wait][clear][color(yellow)]オバサン・次女[color(white)]
こんなとこかしらぁ～。
うひょひょひょ。
[wait][clear][end]"
msg_71,"[color(yellow)]オバサン・次女[color(white)]
売れる物、持ってないじゃないの～。[wait][clear][end]"
msg_72,"[color(yellow)]オバサン・次女[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_72_Choice1,はい
msg_72_Choice2,いいえ
msg_73,"[color(yellow)]オバサン・次女[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_73_Choice1,はい
msg_73_Choice2,いいえ
