﻿msg_0,"金田・片岡に連絡してください。
[wait][clear][end]"
msg_43,"[color(yellow)]あんちゃん[color(white)]
う～ん、相性バッチリなキミから
お金は取れないなァ。
だから半額の１５００円でいいよ。[wait][clear][end]"
msg_44,"[color(yellow)]あんちゃん[color(white)]
もっちろん回復するよねェ？
[end_choice][clear][end]"
msg_44_Choice1,はい
msg_44_Choice2,いいえ
msg_45,"[color(yellow)]あんちゃん[color(white)]
えェ～？いいの？治療。
受けといた方が、絶対いいのになァ～
寂しいなァ～[wait][clear][end]"
msg_46,[color(green)]舞耶達は回復した。[color(white)][wait][clear][end]
msg_47,"[color(yellow)]あんちゃん[color(white)]
アレレレレ？
お金が足りないみたいだよォ。
残念でしたァ。[wait][clear][end]"
msg_48,"[color(yellow)]あんちゃん[color(white)]
さァ、他に何かあるかなァ？
言って言って、どんどん言って！
ボクって結構つくすタイプだし。
[end_choice][clear][end]"
msg_48_Choice1,回復してもらう
msg_48_Choice2,話をする
msg_48_Choice3,なにもしない
msg_48_Choice4,店の外に出る
msg_49,"[color(yellow)]あんちゃん[color(white)]
何を聞きたいのかな～？
[end_choice][clear][end]"
msg_49_Choice1,世間話をする
msg_49_Choice2,回復の説明を聞く
msg_49_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_50,"[color(yellow)]あんちゃん[color(white)]
やっほゥ！！じゃあ子ネコちゃん…
じゃなくて[var(msg_var_1)]名様ごあんなァい！
身も心もこんがりと焼いてきてねェ！
[wait][clear][end]"
msg_51,"[color(yellow)]あんちゃん[color(white)]
はいはい、じゃあ子ネコちゃん[var(msg_var_1)]人と、
野郎[var(msg_var_2)]名、ごあんなァい。
身も心もこんがりと焼いてきてねェ！
[wait][clear][end]"
msg_52,"[color(yellow)]色白の女[color(white)]
チョームカツクぅー！スマイル平坂に、
佐々木銀次見に行ったんだけどぉ！
火事とか言ってぇ、中入れてくれないのォ！
[wait][clear][end]"
msg_53,"[color(yellow)]色白の女[color(white)]
なんかぁ、この下にトリフネってあるんでしょ？
それ乗ってないとぉ、一緒に滅亡しちゃうしぃ、
ここ居ればＯＫならラッキーだよねぇ。
[wait][clear][end]"
msg_54,"[color(yellow)]色白の女[color(white)]
ねェ、あの赤い服着た人だァれ？
なんかチョーカッコイイじゃん！
誘ってみようかなァ。
[wait][clear][end]"
msg_55,"[color(yellow)]色白の女[color(white)]
なんかァ、噂で聞いたんだけどォ、
鳴海区でアメノトリフネ発掘してんでしょォ？
表向きは地下鉄工事らしいけどォ。
[wait][clear][end]"
msg_56,"[color(yellow)]色白の女[color(white)]
あの蓮華台に建ってるお城って何なわけ？
あれもトリフネ伝説とかに関係あんの？
なんか全然わかんないしぃ。
[wait][clear][end]"
msg_57,"[color(yellow)]色白の女[color(white)]
なんかぁ、超感激しちゃってぇ！！
私ぃ天誅軍に襲われてぇ、激ヤバだったんだけど、
凄いカッコイイ人に助けられちゃったのぉ！！
[wait][clear][color(yellow)]色白の女[color(white)]
どっかのセールスマンらしいんだけど、
天誅軍の連中、素手でボッコボコにしちゃってぇ、
最後に「素人は隠れてな…」だって！キャ～
[wait][clear][end]"
msg_58,"[color(yellow)]無表情な女[color(white)]
ブツブツ…ったく、あいつったら！
女性客とくればデレデレしちゃってさっ！
君がサイコーとか言ってたくせに、ぶつぶつ…
[wait][clear][end]"
msg_59,"[color(yellow)]無表情な女[color(white)]
ちょっと、さっきからジロジロと！
何よっ！何なの！？
私に用でもあるの？
[wait][clear][end]"
msg_60,"用があるなら早く言ってよ！
[end_choice][clear][end]"
msg_60_Choice1,名前を言い当てる
msg_60_Choice2,話をする
msg_60_Choice3,用はない
msg_61,"イケダジュンコ
[end]"
msg_62,"[color(yellow)]無表情な女[color(white)]
はぁ？誰よそれ？
人を捜してるなら他の人を当たってよ。
私だって暇じゃないんだから。
[wait][clear][end]"
msg_63,"[color(yellow)]無表情な女[color(white)]
え？なんでアンタ私の名前知ってんの？
ちょ…なによ、気持ち悪いわねぇ…
アンタ、ナンなの？
[wait][clear][end]"
msg_64,"[color(yellow)]イケダジュンコ[color(white)]
人捜し…って…
じゃあ私の捜索願でも出てたの？
ちょっと…どうして？
[wait][clear][color(yellow)]イケダジュンコ[color(white)]
ま、まぁいいわ。
事情はそのマンサーチャーに聞けば良いんでしょ？
とりあえず、アナタの事も話しておくから。
[wait][clear][color(yellow)]イケダジュンコ[color(white)]
でもよく私がここに居るって分かったわね…
もしかして結構捜すの大変だった？
一応、お礼言っとくわ。ありがとね。
[wait][clear][end]"
msg_65,"[color(yellow)]無表情な女[color(white)]
[end]"
msg_66,"[color(yellow)]イケダジュンコ[color(white)]
[end]"
msg_67,"あなた気をつけなさいよ。
あの店主、店に来た女性には
手当たり次第声かけるのよ！
[wait][clear][end]"
msg_68,"[color(yellow)]無表情な女[color(white)]
[end]"
msg_69,"[color(yellow)]イケダジュンコ[color(white)]
[end]"
msg_70,"馬鹿らしい！
トリフネなんかある訳無いじゃない。
この街の人ってみんなどうかしてるわ！
[wait][clear][end]"
msg_71,"[color(yellow)]無表情な女[color(white)]
[end]"
msg_72,"[color(yellow)]イケダジュンコ[color(white)]
[end]"
msg_73,"さっきから地震が続いててね、
街の連中、これがトリフネの動き出す前兆だって
騒いでるみたいなのよ！夢見すぎよね！
[wait][clear][end]"
msg_74,"[color(yellow)]無表情な女[color(white)]
[end]"
msg_75,"[color(yellow)]イケダジュンコ[color(white)]
[end]"
msg_76,"そんな…トリフネ伝説が本当だったなんて…
じゃあ、世界の滅亡も本当に？
ど、どうしよう…
[wait][clear][end]"
msg_77,"[color(yellow)]無表情な女[color(white)]
[end]"
msg_78,"[color(yellow)]イケダジュンコ[color(white)]
[end]"
msg_79,"もしかしたら、この世界、滅んじゃうかもね…
こんな時までアイツのそばにいるなんて…
私もバカだわ…ホント…呆れちゃう。
[wait][clear][end]"
msg_80,"[color(yellow)]あんちゃん[color(white)]
「回復」についてだね～。
[wait][clear][color(yellow)]あんちゃん[color(white)]
うちの店で「回復してもらう」を選べば、超ハイテク
日焼けマッシーンのイカした効果で「ＨＰ」と「ＳＰ」
さらに「猛毒」などのステータス異常を回復しちゃうよ。
[wait][clear][color(yellow)]あんちゃん[color(white)]
値段はそれなりにかかるけど、全員まとめてやるから
サトミタダシの薬をガブ飲みするよりは
安く済むんじゃないかなァ？
[wait][clear][end]"
